sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.489300751201095106226776753182,207,191.0,255.0,242.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.178533280579346099227969073296,208,190.0,253.0,240.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.109398823506741905019492809301,209,197.0,253.0,239.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.285420669360043879149928338993,210,193.0,255.0,240.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.825431726710989806158714282748,211,192.0,252.0,245.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.312530616941413100457624825709,212,193.0,253.0,246.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.156285791947169206326338290681,213,194.0,257.0,246.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.266757805877395288061992428685,214,191.0,257.0,246.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.259512474951970065039698937040,215,195.0,255.0,244.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.179352199538490381905222975112,216,198.0,254.0,244.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.863474731516937650807082887072,217,195.0,253.0,242.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.302662687908923564889593594888,218,198.0,251.0,240.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.400265287912985505699392200212,219,198.0,254.0,240.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.305530738971016587772143361892,220,195.0,255.0,244.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.851466841792064302106566529834,221,198.0,253.0,240.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.314815955346865736543869141367,222,197.0,253.0,239.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.324251244859130146906375244285,223,197.0,253.0,241.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.162816081711666503722223642069,224,201.0,256.0,244.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.250481509218596100914966421252,225,198.0,261.0,244.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.279564849053263032679978295874,226,203.0,268.0,239.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.272805312537636869207897548254,227,204.0,268.0,244.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.238080359535075594409683116622,228,204.0,271.0,242.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194308332348178006433433386136,229,201.0,264.0,244.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.548052517993351356606015582786,230,203.0,270.0,242.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.228778223409972627185090589251,231,201.0,272.0,240.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.123885181773207550363833383164,232,205.0,274.0,242.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.256377755911354806172685331212,233,200.0,271.0,237.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.311066373893752879347961462493,234,203.0,272.0,237.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.754345033119625995246546762155,235,202.0,272.0,233.0,292.0
