sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.305105359110053665197609034269,65,205.0,261.0,244.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.287676219181353613461163204141,66,202.0,260.0,246.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.309130869223889931409589612808,67,204.0,262.0,245.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.331445423775295226848759460280,68,201.0,262.0,244.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100925876091191032384138872821,69,205.0,263.0,251.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.105888500177527085829701995576,70,201.0,263.0,249.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.338457206925357796626603365829,71,198.0,262.0,249.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.331201166924454955551304633484,72,200.0,263.0,248.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.469226960074496800864260631008,73,200.0,263.0,250.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.311767731700084482603292600582,74,199.0,261.0,248.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.127833290585428871344500391937,75,195.0,261.0,251.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.326297096352423099606725676238,76,199.0,261.0,254.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.566107850513481954290399249518,77,195.0,260.0,248.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.150954519268582475478933810185,78,199.0,262.0,244.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.846411484879177631266694489218,79,199.0,261.0,248.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.311698708332510542586724462738,80,202.0,261.0,248.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.251111146032414485173874223841,81,202.0,261.0,251.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.357948908458332719677500971618,82,198.0,263.0,245.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.863841422360130755042534463517,83,203.0,265.0,250.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.134731970489408150900053742339,84,205.0,263.0,246.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.150109669573204062290076327245,85,198.0,261.0,244.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.313759858795150302873526232153,86,203.0,265.0,244.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.129242776999161117056394065864,87,205.0,266.0,247.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.183263459400218103734001153864,88,203.0,263.0,248.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.135414478547320179139224562813,89,208.0,268.0,247.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.124606047529553789646434931815,90,204.0,267.0,242.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.307153759416089411331966970396,91,207.0,268.0,240.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.490062195321828216382928958177,92,202.0,267.0,240.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.225165993637440923034724843644,93,204.0,265.0,240.0,298.0
