sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.178469284244278074258382732234,255,327.0,277.0,361.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.182585082082360394619904417221,256,326.0,272.0,358.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.130359098376149000677284533398,257,329.0,276.0,359.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.270593370485805226825785033045,258,324.0,269.0,359.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.327671616291505773200236540088,259,327.0,275.0,360.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.283910574464489553357930934442,260,326.0,273.0,362.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.202914996332555600070403766347,261,324.0,273.0,360.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.287331110340769797248809119786,262,323.0,272.0,365.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.111348811481532198914492261485,263,321.0,268.0,365.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.613698973499679377307596318193,264,318.0,268.0,365.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.268408039898563431101516903590,265,322.0,268.0,365.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.281646031791641529640953075229,266,321.0,266.0,366.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.288916487930960285075546817798,267,322.0,267.0,367.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.115587240730654080699956734777,268,321.0,268.0,366.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.412748365157914460885225060242,269,321.0,266.0,367.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.895740689368054868952257036388,270,317.0,264.0,367.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.884582336244349725431866214130,271,319.0,266.0,369.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.221717076942044374649052149042,272,312.0,268.0,365.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.199393497566164847014656982701,273,314.0,264.0,364.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.120508566351483793958139221840,274,313.0,262.0,365.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.206485502733920791726444078436,275,311.0,257.0,365.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.381817417536574066891171551285,276,308.0,254.0,369.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.121812101980582449594886980067,277,314.0,257.0,369.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.281424221886050364827338003477,278,313.0,256.0,373.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.301831978329917240727596462399,279,311.0,253.0,378.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.265179212374142215033544539980,280,310.0,254.0,376.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.326117485662317252110579597270,281,311.0,255.0,375.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.266469528610210982392558059291,282,314.0,250.0,380.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.236239454314360641810542175389,283,313.0,251.0,379.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.327576737651680078250865765192,284,312.0,254.0,378.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.507051325383002745625078032841,285,311.0,251.0,380.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.323875535404986827076993653066,286,313.0,250.0,380.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.297796205862976141822832736557,287,311.0,247.0,395.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.298403780871529433713198966814,288,312.0,249.0,396.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.283588715202348854350995247957,289,310.0,250.0,393.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.111719424188332768761953655178,290,309.0,251.0,393.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.215855141456103361439354805192,291,315.0,256.0,395.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.339291801221924498216566693472,292,312.0,250.0,394.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.208244372062024728125865183592,293,313.0,252.0,391.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.325696825296320882751118227354,294,312.0,248.0,392.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110161328222112304099167118523,295,310.0,251.0,393.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.221179044037026334612642082211,296,310.0,245.0,394.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.307919672673320055053358917136,297,307.0,247.0,390.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.283965095232736098225700770530,298,305.0,250.0,391.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133423793026122545472919899525,299,309.0,250.0,392.0,311.0
