sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.845961335471026368132417715693,170,176.0,271.0,208.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.203144356661956347822725217061,171,172.0,263.0,205.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.120146735573648801080426390098,172,169.0,262.0,211.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.111945061494659446728703260422,173,165.0,257.0,210.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.823522639493923585523355398209,174,171.0,264.0,208.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.139156843328767395356202146942,175,170.0,261.0,208.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.178979081400935491671530372231,176,170.0,259.0,209.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.143120349238627435564745439982,177,165.0,256.0,205.0,320.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.167670079882753455413635774177,178,168.0,253.0,205.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.322457876781694157349202299363,179,163.0,254.0,197.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.337582473894779041060287435219,180,158.0,242.0,201.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.726785689066068142608743464424,181,162.0,239.0,195.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.288146291479815307524124605967,182,160.0,239.0,197.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.300944163297915460003344897824,183,162.0,240.0,188.0,288.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.503696661264493305827713145212,184,163.0,237.0,190.0,288.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.307575308734146927488640551068,185,161.0,235.0,191.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133921124549489870632217389253,186,158.0,236.0,190.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.174582831337282336522640388772,187,160.0,240.0,194.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.202338414250204611260992956627,188,156.0,230.0,186.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.310755923856973447800693375809,189,156.0,228.0,187.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.264061208947555565350706873957,190,160.0,220.0,190.0,285.0
