sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.172256629607051428625022287228,107,185.0,204.0,224.0,250.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110183806000686381910150422962,108,187.0,203.0,223.0,246.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.211924663212475325805894196684,109,183.0,204.0,221.0,245.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.852831817948313207813191133111,110,187.0,210.0,219.0,240.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.666978710552246701262365983736,111,187.0,202.0,227.0,245.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.332244488867551375547387925400,112,184.0,203.0,226.0,244.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.203259845122991475278165604523,113,182.0,200.0,226.0,243.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.317096400891805050424489945343,114,184.0,200.0,230.0,250.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.208560158016295967273589425914,115,183.0,200.0,226.0,251.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.140106102273477179691586739563,116,183.0,200.0,230.0,250.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.335395676203162812240663223441,117,182.0,198.0,227.0,257.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.303075278291398424519977356966,118,183.0,199.0,225.0,259.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.652098956616875615141042835603,119,180.0,193.0,226.0,256.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.274110080650726375947724667793,120,183.0,195.0,226.0,261.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.109383013213708824373981291739,121,183.0,194.0,227.0,258.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.197305314369881263597382806076,122,184.0,197.0,227.0,257.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.123275604920448021806456929442,123,185.0,197.0,226.0,257.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.311297412068581541627338081220,124,186.0,201.0,224.0,259.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.152886384530518250844338658844,125,176.0,197.0,230.0,257.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.207356113031878728768010121815,126,188.0,199.0,226.0,259.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.197688465735677910203536629548,127,187.0,203.0,230.0,258.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.185184664262125918523986121812,128,185.0,203.0,223.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.280527142944791862240213804397,129,189.0,200.0,227.0,258.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.130062386904029267368378490866,130,183.0,199.0,225.0,257.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.313650643392330226035085836218,131,187.0,202.0,223.0,258.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.134468288869132857597030349602,132,183.0,203.0,223.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.163584699347220632855007757589,133,185.0,207.0,223.0,256.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110049070069903552375635430875,134,187.0,203.0,229.0,262.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.143427509996594776893314917065,135,186.0,205.0,220.0,254.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.184506386022353675158904057761,136,185.0,207.0,228.0,264.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.202995056112538235120666385816,137,187.0,210.0,224.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278848670175665153067083671718,138,180.0,209.0,221.0,255.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.600580031996809214719449436677,139,184.0,204.0,219.0,247.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.334626000141673391018986659212,140,185.0,208.0,217.0,246.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.584107884006892866549972437619,141,187.0,198.0,219.0,257.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.213519368687831772025062857425,142,187.0,203.0,217.0,246.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.292342101914772003851037680768,143,191.0,207.0,223.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.783779029920958490659677935950,144,193.0,211.0,218.0,250.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.136581127790231756230014740716,145,187.0,211.0,214.0,248.0
