sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.799580543119539168273296297494,63,185.0,266.0,230.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.459823791297524895145859885556,64,183.0,271.0,220.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.143035247987273176515024990553,65,185.0,266.0,223.0,320.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.293549798104211416253404859056,66,185.0,264.0,223.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.725295941811309429562539677293,67,174.0,263.0,216.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.171052484445791070379946492754,68,186.0,259.0,217.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.219753268939869781126774741007,69,185.0,259.0,215.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.211355040961356006719547429757,70,183.0,263.0,218.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.324213438143549123440800403723,71,182.0,261.0,217.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.164161531643874897345646824179,72,185.0,260.0,221.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.249863941880130708403602739371,73,188.0,264.0,221.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.190640782937596913594048186685,74,182.0,264.0,219.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.248962768791350867317707275449,75,183.0,261.0,220.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.132195781078410271816057465460,76,179.0,259.0,215.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.831329265161300162885918616624,77,187.0,264.0,217.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.230493039001932519093619605488,78,179.0,260.0,219.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.305329941500153838986452657048,79,184.0,261.0,223.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.230012178916727098986343329143,80,180.0,253.0,217.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.306009243887941487170547016914,81,182.0,257.0,218.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.241302528364604183188162010213,82,183.0,252.0,214.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.111836972131384067965826952030,83,183.0,251.0,217.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.284682305709898172912215712688,84,180.0,249.0,217.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.156836401719856865910565235179,85,183.0,247.0,212.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.253866687429024659783987875930,86,180.0,251.0,219.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.320053649879137021803104311404,87,180.0,246.0,219.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.305024623187921080545859552424,88,181.0,249.0,212.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.281297722572678475560306202517,89,180.0,246.0,215.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.340109549711973502589395983824,90,176.0,244.0,221.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.596285838143935397371914448181,91,178.0,243.0,213.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.102782268454097512446469828035,92,180.0,245.0,210.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.634041350313529981514415722022,93,180.0,243.0,211.0,300.0
