sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.457494338105067472219694049995,145,302.0,376.0,358.0,418.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.269595722369701490104072795024,146,305.0,377.0,362.0,421.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.186925798146124508281666549437,147,307.0,375.0,359.0,418.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.271915207442087811333890463609,148,300.0,378.0,361.0,419.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.318739718531299256348026848648,149,305.0,376.0,362.0,419.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.258350876641596089602604282747,150,301.0,374.0,361.0,416.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.107772110731354593619792244172,151,298.0,373.0,362.0,419.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.160745026055794700581527666585,152,301.0,369.0,362.0,419.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.202605839962217399934926793711,153,297.0,371.0,367.0,421.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.263724621843899523863548466145,154,300.0,373.0,363.0,418.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.927293021206549365168652864187,155,298.0,370.0,363.0,424.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.276834618363534571840149460776,156,300.0,370.0,365.0,423.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.106795628367420587617476588064,157,298.0,368.0,367.0,422.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.102514934473384773925132882278,158,294.0,371.0,369.0,425.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.552612340769176743045212899763,159,303.0,366.0,370.0,419.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.314082691107048122272597714314,160,301.0,368.0,369.0,418.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.796910757939515619391370073556,161,301.0,368.0,373.0,421.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.158497250908382640576682331555,162,299.0,365.0,374.0,418.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165981374851401946047932947518,163,294.0,365.0,369.0,421.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.317402040194671859960205703605,164,298.0,361.0,375.0,420.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.317061447830453986028746535952,165,298.0,361.0,374.0,424.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.236110773122592795335945086093,166,298.0,361.0,375.0,423.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.766615460949079897222275757525,167,301.0,364.0,374.0,423.0
