sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.335557796455717752518813280207,69,196.0,255.0,235.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.141946160940283336282590505796,70,197.0,257.0,235.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.309042772473181252690815445620,71,198.0,258.0,232.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.322169683397398756548610218563,72,198.0,257.0,235.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.183414537833880896088804733641,73,199.0,257.0,232.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.269078324460678855574562854335,74,201.0,252.0,235.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.339760647062240213220605336359,75,198.0,253.0,236.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.875472190710808118252381102422,76,199.0,252.0,231.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.132594876355590797664929205994,77,198.0,250.0,251.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.322483869076507728936164235848,78,201.0,258.0,251.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.247510996139994075689100846912,79,199.0,256.0,245.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.298902855358730077682437574010,80,197.0,253.0,251.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.929744371647217511244600976351,81,203.0,257.0,251.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.277846575345277505240046185485,82,201.0,255.0,254.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.245219215371970135236380859719,83,194.0,250.0,252.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.163310736735413295633488348889,84,200.0,248.0,237.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.251323212604537677998686040218,85,194.0,249.0,239.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.209794308393412161561339692288,86,201.0,252.0,246.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.293108627633654508319641229349,87,198.0,251.0,240.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.191064458208722027264190444434,88,198.0,250.0,244.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.152231022151113171644125962354,89,201.0,255.0,241.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.236874307185693565837268101379,90,200.0,250.0,248.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.256983997328869833720007559368,91,197.0,253.0,242.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.275839781586677866749986528018,92,198.0,253.0,240.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.114895700962323519704025014424,93,203.0,257.0,242.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.329474013380929484224454560174,94,199.0,249.0,239.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.193252842898922076151054771338,95,190.0,248.0,240.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.117783285549917212057975755743,96,198.0,257.0,241.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.179014699645448081007224475213,97,205.0,263.0,239.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.696196087051244429654523153714,98,202.0,253.0,240.0,296.0
