sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.102472469354271987859276173999,73,323.0,305.0,368.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.288678286333686448983659519441,74,335.0,307.0,365.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.134706542531982210141075492428,75,330.0,304.0,365.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.286957202438082157212684528523,76,330.0,303.0,376.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110893049906365666576979902346,77,327.0,311.0,369.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.235261760213776222084962900770,78,323.0,301.0,372.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.713729068756366651804485226014,79,313.0,301.0,367.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.164143570307766939946124039936,80,316.0,302.0,373.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.328607223459703632611041883136,81,314.0,303.0,372.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.307308152010033526310271105958,82,309.0,293.0,380.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194525620555680411669562400724,83,308.0,291.0,382.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.114431599008267063273300311012,84,310.0,288.0,381.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.298736277846860965233284797436,85,310.0,286.0,379.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.251368309197612524144137987752,86,313.0,288.0,381.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.184163647750250632690777172936,87,307.0,281.0,386.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.314227904424782967543941373086,88,302.0,282.0,389.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.125105131424912597367049553369,89,305.0,286.0,390.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.182291306752922020350172561513,90,308.0,289.0,391.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.157178135702121213223714583368,91,309.0,283.0,390.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.126586378337094583851226645901,92,308.0,282.0,394.0,369.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.212090971423959720034377959985,93,308.0,282.0,393.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.160285631837196751675636886435,94,303.0,281.0,397.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.994468522634030276343712562115,95,301.0,277.0,394.0,373.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.113659854001177498624736829366,96,304.0,280.0,398.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.441972917730465564970581350260,97,303.0,278.0,405.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.150008390826640416886587556347,98,305.0,280.0,396.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.779443890656828664103389975121,99,301.0,279.0,398.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.116814929162052070796100918633,100,303.0,274.0,398.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.327070735195621566489622947588,101,301.0,278.0,399.0,373.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.334321100580559602996298314957,102,300.0,278.0,397.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.117855805056303782648780721842,103,301.0,276.0,403.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194265939275124454584840689977,104,303.0,278.0,399.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.275515677043539896469500501729,105,300.0,273.0,404.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.169526239731683752971619981367,106,302.0,282.0,399.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.160276817610594827572119735007,107,298.0,271.0,401.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229562012642689628584879960969,108,297.0,278.0,398.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145235184664552902776947350096,109,297.0,277.0,399.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.696917002883172444350069259736,110,299.0,275.0,401.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.544770524392929393589679895685,111,300.0,281.0,399.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.138987582432267672810156536446,112,299.0,279.0,397.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.309228377708224821150135635639,113,298.0,280.0,396.0,378.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.705644893787834129446019785002,114,294.0,280.0,396.0,378.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.224728089487204637039628412928,115,295.0,279.0,398.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.183687002007787385481846011292,116,297.0,280.0,398.0,379.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.923461426394593709431410578055,117,296.0,278.0,400.0,380.0
