sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.285375528190265939385662515501,25,122.0,242.0,187.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.124748776007684940682973832143,26,122.0,231.0,184.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.247756845723855295607290414711,27,119.0,228.0,181.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.123591476634394292408260658574,28,119.0,231.0,186.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100793466511946272712533388248,29,120.0,220.0,189.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.313496341518024697680712645014,70,121.0,238.0,187.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.219246337850161651399031027698,71,121.0,230.0,186.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.326332120017855721818048222665,72,116.0,227.0,190.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.129964575333260633547361616509,73,117.0,224.0,181.0,288.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.403606900343687568376560066722,74,121.0,206.0,187.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.453345889623846213417348940001,115,121.0,245.0,186.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.251578866331491671606774904964,116,118.0,232.0,184.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.967378008750569757413194584000,117,115.0,231.0,184.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.141970087333986124569215355545,118,117.0,223.0,184.0,289.0
