sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.173284103065322096865430559232,19,139.0,311.0,184.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.418241543242095735393257119417,20,126.0,300.0,185.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.250206460391447257379284791248,21,129.0,304.0,184.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.262055170503871546156886834906,22,124.0,302.0,181.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194417747792921174785903712454,23,128.0,311.0,174.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100752576782590052443136605380,24,139.0,314.0,163.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.286996125538043254427217651002,69,139.0,314.0,176.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.116421695315713839693191738126,70,135.0,307.0,180.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.331024713412860925247457760646,71,126.0,309.0,184.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.189097469295353639734105159856,72,123.0,311.0,181.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.108094226857443295677529260172,73,130.0,315.0,173.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.124468907149904464125838183157,74,136.0,313.0,174.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.328088383563104674752186710283,75,130.0,300.0,169.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.210731620857550455854247287561,119,152.0,316.0,176.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.873581271252961540536611419577,120,130.0,307.0,180.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.260002464643586419088427268484,121,122.0,305.0,181.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.277557740282418496243049641460,122,118.0,304.0,180.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.193545791478106959063728463729,123,127.0,311.0,176.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.208372405253852621916761515791,124,135.0,310.0,171.0,346.0
