sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.683539726106478904027289614564,90,198.0,303.0,222.0,326.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.200643634411218454567510853302,91,201.0,306.0,219.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.995412901908473537070670266364,92,200.0,305.0,220.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.187238296231735084066491364738,93,198.0,304.0,217.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110830544158474640483886783542,94,197.0,303.0,218.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.263426744241868573456914951201,95,195.0,305.0,221.0,329.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110118289027814709137110782174,96,195.0,303.0,220.0,329.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145278448394166984434697811963,97,192.0,303.0,218.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.158288535258556258548324351824,98,190.0,298.0,219.0,328.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.119152012783225484988564693679,99,191.0,298.0,219.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.250328950190228864308644796517,100,188.0,299.0,220.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.111586688356237338348569147111,101,185.0,300.0,220.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.297176486082642523670447230730,102,185.0,294.0,219.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.147430594544996103126772857435,103,185.0,297.0,222.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.192094610334233246566690092320,104,186.0,296.0,220.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165929371835426756710351798304,105,184.0,298.0,221.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.721759057042612660954037832780,106,187.0,298.0,221.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.222897986598607156565265160073,107,187.0,298.0,218.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.221247518272795482272284027062,108,191.0,300.0,218.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.249005351695865433464800787587,109,192.0,305.0,217.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.324350769848608034884805195780,167,204.0,282.0,228.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.849011594029709507578857582915,168,201.0,279.0,227.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.967302580461540025191561865015,169,198.0,279.0,231.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.252928667804320520331619926438,170,197.0,277.0,228.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.130189888954156098885322757667,171,198.0,272.0,227.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.209051752792983716674648566591,172,195.0,273.0,228.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165970449403480949600370504803,173,191.0,272.0,230.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.596924755174176312427806269926,174,192.0,274.0,229.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.203739085432985788728933523889,175,199.0,277.0,229.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.113972126575255503378381630445,176,198.0,274.0,228.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.107595688118261927995394441318,177,195.0,281.0,227.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.834386635273485554793755025046,178,197.0,288.0,228.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.235523025608485636444918659000,333,194.0,303.0,217.0,329.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.295734575936220402400731729062,334,192.0,304.0,219.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.138728574943382983076724665624,335,189.0,300.0,220.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100580691708822138145046680808,336,190.0,300.0,219.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.328883921299783844044144462133,337,188.0,301.0,218.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.102556530769447988780882381526,338,188.0,299.0,218.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.319806117831533992011615306316,339,186.0,298.0,222.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.683944711637894973156442785852,340,186.0,298.0,221.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.209788046266553652429533095736,341,184.0,299.0,221.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.784778091449043548510085466982,342,184.0,300.0,225.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.323135835025206695213880984676,343,185.0,298.0,223.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.279480145269064695291593540763,344,187.0,295.0,224.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.115108781568436766092863256259,345,188.0,295.0,219.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.975946747908041717587674210334,346,193.0,302.0,224.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.270166915831247030382201784910,403,209.0,286.0,227.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.170403001444735619196613982517,404,205.0,281.0,228.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.142049682321136768871012430165,405,201.0,283.0,228.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.140757697351638922082882789873,406,200.0,279.0,229.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.508923312389255812521287461273,407,201.0,277.0,229.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.295343506940523392899926188799,408,196.0,277.0,227.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.101659570623374363601638783852,409,198.0,276.0,228.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.245298643299753287612943203649,410,198.0,274.0,226.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.197922545066167425766496848270,411,195.0,274.0,228.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.578562830126925522191409101202,412,192.0,273.0,229.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.285362601333509577845121035099,413,198.0,283.0,229.0,307.0
