sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.205259570919947697168200728792,28,327.0,248.0,374.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.338367993228876579846157490972,29,318.0,243.0,379.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.157552549648880676978081616753,30,311.0,233.0,389.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.333265146263332362456726406115,31,318.0,239.0,386.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.239315967160773076597367701917,32,313.0,236.0,384.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.161315043548517341123238535735,33,320.0,236.0,393.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.139055513986690285896718193492,34,316.0,239.0,401.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.256524652790513707942337940413,35,331.0,238.0,378.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.143894957288982521037314161743,87,331.0,240.0,367.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.209129562404534798746394644270,88,325.0,242.0,375.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100199112995438635843231609895,89,320.0,233.0,385.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.280221948960977635401126473500,90,317.0,235.0,387.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.237799233296353066716458971683,91,312.0,230.0,387.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.119379446241121160451502665669,92,319.0,230.0,390.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.129345863038781630785078791218,93,320.0,231.0,398.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.617123080265953046820530638254,94,325.0,228.0,378.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.178081431644146792044767223374,95,340.0,251.0,369.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.707773158944023801775606879592,147,333.0,234.0,369.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.271410248545330902113365642856,148,328.0,238.0,375.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.377972575107550336901306647462,149,321.0,235.0,382.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.281147473581665791558456681027,150,320.0,233.0,385.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.304434428141271056027704617190,151,314.0,236.0,388.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.250398320641427569052689066287,152,322.0,233.0,390.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.203446164390119773150298748281,153,321.0,232.0,391.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.801137966411412423191396087046,154,321.0,239.0,384.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.546035430872649273167774432035,155,331.0,243.0,378.0,303.0
