sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.255458656513639135469781627378,1,374.0,262.0,442.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.109634590416535290174457302857,2,378.0,253.0,448.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.185680721037634483258557575931,3,380.0,268.0,448.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.383710355013349516168532250350,10,376.0,259.0,467.0,373.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.109063023046542126608729585048,11,387.0,250.0,466.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.714864990957679060114622526764,12,388.0,251.0,449.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.119869607671659066357090728933,13,387.0,260.0,445.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.273923960911222639428296851286,14,390.0,266.0,443.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194980803419490110180822824461,15,387.0,269.0,444.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.127698879070685565508449257498,16,377.0,275.0,450.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.709550727073140745409287621753,17,378.0,280.0,451.0,361.0
