sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.190644622490832197814996456935,3,226.0,182.0,262.0,234.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.538842340831935933653638709002,4,212.0,176.0,272.0,242.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214221711654583976716061259547,5,200.0,168.0,276.0,261.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.739932539905504282698496501592,6,198.0,171.0,290.0,251.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.192787722375390208994246631139,7,194.0,165.0,289.0,258.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.102695000491608162291738342590,8,194.0,161.0,305.0,250.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.144012861008081780898237431964,9,173.0,162.0,305.0,264.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.113942863516946396310809687077,10,184.0,162.0,308.0,263.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.141172769179588116443454441615,11,181.0,146.0,313.0,260.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.182500434064333276650889488787,12,172.0,146.0,316.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.299236757053651789573259344940,13,194.0,156.0,298.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.555460014984083315279687259274,14,200.0,165.0,290.0,265.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.273764911903067519938948937292,15,201.0,156.0,303.0,269.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.324963408613166780063650443422,16,199.0,164.0,283.0,262.0
