sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.124009534112529380618352297900,17,316.0,179.0,357.0,225.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.119983552228265361942320185942,18,293.0,178.0,363.0,230.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.236208704544023620993697454308,19,292.0,170.0,372.0,271.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.468631810452868726548444535214,20,292.0,166.0,376.0,273.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.716931969876099025261746503588,21,291.0,158.0,384.0,277.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.593470482522559184954873522132,22,286.0,157.0,381.0,273.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.114180725510041861654000184699,23,293.0,164.0,384.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.242552818874885186488219774046,24,301.0,154.0,399.0,279.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.207551102285852710797620532899,25,306.0,180.0,380.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.180379449712550018857092384398,26,308.0,186.0,365.0,256.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.330421742075710690087386930735,27,320.0,215.0,368.0,256.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.204879948575324695097870402022,73,302.0,185.0,374.0,248.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.399287406924065315457467789468,74,296.0,184.0,372.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.241034871967095744199096010709,75,300.0,185.0,372.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.256333960765450662573821027406,76,295.0,177.0,380.0,285.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.199903456827782423419939918201,77,290.0,169.0,388.0,284.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.130036944520363161405240220039,78,296.0,171.0,389.0,285.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.224507401315920800796742905448,79,296.0,174.0,385.0,279.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.328383462044279763770955313953,80,295.0,165.0,395.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.334135629356119956375938957694,81,311.0,191.0,385.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.244249542496819994492870406601,82,313.0,202.0,373.0,274.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.292062109224494960237249594279,83,325.0,242.0,368.0,271.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.172056674632823405035059727263,129,306.0,180.0,364.0,241.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.192917904106560292126609548979,130,299.0,177.0,372.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.288131303779758336817207333166,131,288.0,173.0,380.0,276.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.334335339873061929797831897391,132,291.0,171.0,383.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.211181286868586656337633773561,133,287.0,168.0,384.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.236290427189351590365098099530,134,295.0,171.0,389.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.239048362742681438808998414039,135,292.0,174.0,388.0,279.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.476336307255624689032559205354,136,305.0,169.0,401.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.104347995705618738855207121146,137,307.0,191.0,381.0,277.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.315128021350754740153742117927,138,318.0,209.0,367.0,269.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.773529967461439496797568682575,139,326.0,236.0,364.0,268.0
