sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.549282644619359029110047005739,26,120.0,276.0,195.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.697553173100098592605500147373,27,108.0,268.0,201.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.299400420844836935532522934115,28,117.0,268.0,198.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.109873192826113938588126874302,29,107.0,267.0,201.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.212903312381047954343555581271,30,115.0,261.0,204.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.124676757235565742450014241595,31,113.0,268.0,207.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.129947026916556806030932006047,32,118.0,268.0,212.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.761966020794588393619669476341,33,160.0,281.0,213.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.289591640296488903183181099460,34,157.0,280.0,213.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.239282534103105854899146628709,35,162.0,282.0,208.0,339.0
