sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.270527692443275413164582248432,29,163.0,325.0,216.0,378.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.281368809409979768363609154625,30,164.0,323.0,221.0,385.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.210789546827560735924888575526,31,159.0,319.0,222.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.140348648040700323501935921718,32,160.0,323.0,222.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.354052802431091648347272728356,33,156.0,313.0,215.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.223214721313803537691996480405,34,158.0,322.0,221.0,388.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.265935697516616240102742689952,35,167.0,324.0,225.0,388.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.288828732614403544290183598095,36,184.0,333.0,217.0,388.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.275652255159641129606273238201,77,166.0,328.0,214.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.800553066838271176535328121700,78,154.0,330.0,219.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.323977198089087100298811040515,79,156.0,324.0,216.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.184120396682996782789448316043,80,155.0,324.0,213.0,388.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.917202512994135177130778265516,81,152.0,324.0,216.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.174317157656152304544257695597,82,146.0,324.0,219.0,392.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.167994570403420777434971267677,83,158.0,330.0,221.0,392.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.334346115929590187376162706325,84,172.0,332.0,214.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.257350252045559437867413037203,85,175.0,337.0,215.0,388.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.721734317737764869083514643540,129,169.0,329.0,210.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.310793882262014751574514591247,130,163.0,327.0,218.0,396.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.473233169167405606027163214297,131,154.0,325.0,216.0,393.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.219005638916995852597803572298,132,154.0,324.0,218.0,391.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.236787714341887413510803783775,133,151.0,321.0,216.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.255984589022286233607707462960,134,157.0,324.0,217.0,393.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.116854823833574678941947661340,135,153.0,324.0,221.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.198091293612858043258425876230,136,172.0,331.0,213.0,390.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.234111284270526833579333190658,137,181.0,336.0,219.0,389.0
