sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.216041084481442891887222938466,26,175.0,298.0,227.0,384.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.128475469309377912961286704793,27,160.0,298.0,224.0,388.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.332282390792045214320848489381,28,154.0,296.0,228.0,392.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.337066578650717527412474219015,29,137.0,293.0,229.0,393.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.288799242043025015404628156186,30,141.0,298.0,224.0,398.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.189359487975962686348228838414,31,139.0,299.0,235.0,391.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.228650038412205462725269360429,32,137.0,300.0,229.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.457036524226077354799805646353,33,147.0,296.0,237.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.175724157048566312342674304939,34,163.0,309.0,228.0,384.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.911893455504935570784212647373,35,170.0,319.0,229.0,385.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.331857792521073719710023469609,36,184.0,311.0,232.0,392.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.356471997737370309068011140720,37,180.0,315.0,226.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.116304739002395971851617970371,38,184.0,320.0,229.0,397.0
