sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.273059684208366205561670368567,34,119.0,271.0,160.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.166712384411016164157619678793,35,113.0,267.0,170.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.111433252689817130615562349880,36,113.0,270.0,166.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.319199241018283905150290939330,37,112.0,263.0,171.0,326.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.263457171842109411023429016145,38,107.0,260.0,173.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.174688641482287102399603429464,39,108.0,258.0,167.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.189531737268090154097931862286,40,103.0,257.0,162.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.304576339565076729243365018936,41,101.0,252.0,142.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.190950729552846550363871459241,42,91.0,245.0,130.0,287.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.128619881434134096412949284260,43,92.0,245.0,122.0,283.0
