sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.326086843944253711226768272504,11,311.0,227.0,340.0,270.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.326683772191194234578718803420,12,312.0,230.0,354.0,275.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.627116736155190140209114840555,13,316.0,236.0,364.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.554685000081935647024309806128,14,327.0,240.0,354.0,285.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.142170435490867200515494100474,50,310.0,228.0,344.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.268677661620498038034383178805,51,311.0,224.0,343.0,269.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.300363091826564929004364857076,52,316.0,228.0,359.0,285.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.333053923500151065495253243308,53,316.0,231.0,368.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.323530667932098483818635790323,54,323.0,239.0,363.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.216290078564939425316735386318,90,315.0,236.0,337.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.128427647200261026087442910906,91,313.0,221.0,345.0,278.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.556359484296099501437487560363,92,310.0,228.0,357.0,271.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.510922652857419551033729488109,93,315.0,238.0,357.0,284.0
