sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.297746539102030141903540817931,43,295.0,311.0,334.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.527824568942197857674116437817,44,295.0,313.0,338.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.644711948940239735005633499851,45,292.0,303.0,328.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.474085740908727708634293749857,46,287.0,313.0,336.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.848825045672601489484491583767,47,280.0,309.0,329.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.313388413423392297836758439272,48,285.0,309.0,345.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.326189626000697188349645331867,49,287.0,312.0,335.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.526816269852427954476111061334,50,283.0,306.0,331.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.328761085071081302139179545617,51,284.0,311.0,332.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.166260852579075588021387465170,52,272.0,301.0,338.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.195997961370997040721212744449,53,286.0,308.0,332.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.252280206743375535192415916548,54,287.0,309.0,338.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.136392121338574767044882070455,55,282.0,306.0,335.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.781154543573532968039234364314,56,280.0,305.0,333.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.286959525370107392919096688616,57,287.0,306.0,339.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.261511880294809787974889730243,58,287.0,308.0,331.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.183967326601116298323976701263,59,288.0,308.0,332.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.238640441036669930664351444368,60,284.0,306.0,342.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.128522247715281833529427417062,61,281.0,310.0,341.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.155503931976893514452083950414,62,287.0,306.0,345.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.157891266914820710307294074374,63,284.0,311.0,335.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.209368764982786912983010156807,64,285.0,310.0,340.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.337828412101740852123945322349,65,287.0,309.0,336.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.643944394481384277132964308217,66,287.0,307.0,337.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.299042603971235742750937734620,67,292.0,306.0,342.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100104689180023465599548262677,68,287.0,306.0,334.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.316683832150237261855531824533,69,289.0,306.0,333.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.890946665072195071977094715239,70,287.0,304.0,332.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.284416929147344403493354127105,71,287.0,305.0,334.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.112898598294181802300591752137,72,282.0,300.0,335.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.221494282508827974469278930393,73,292.0,311.0,335.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.632660718785331349813444838891,74,297.0,306.0,339.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.330029054091583934457249767825,75,297.0,300.0,332.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.250336748634253639508953276759,76,295.0,302.0,339.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.327290356803726583428615677958,77,294.0,301.0,331.0,358.0
