sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.293424340293936253111660375317,34,320.0,280.0,338.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.933743438132890753793454605173,35,324.0,275.0,341.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.339826576629911954841396761440,36,322.0,273.0,342.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.469962735849988336536173025903,37,317.0,270.0,340.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.184791547014955145313415036691,38,323.0,265.0,349.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.256229971660401859185441593282,39,324.0,267.0,345.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.252703339945261706841779495778,40,325.0,265.0,354.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.913589630949743380431146576289,41,323.0,266.0,351.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.269634618906937417289079665069,42,319.0,265.0,359.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.151831410248097080131767133607,43,320.0,266.0,351.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.134236403987776247247079919723,44,326.0,263.0,347.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.695195860091700447076153736079,45,329.0,268.0,348.0,289.0
