sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.879685799451633313434052290421,31,355.0,256.0,402.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.257794346229950903870838266385,32,354.0,247.0,414.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194730637563750067206189850253,33,360.0,239.0,409.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.174698789998885244842550533828,34,353.0,250.0,410.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.150875742040005869759097844560,35,357.0,259.0,407.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.383174049940274652689259544364,36,357.0,248.0,410.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.147754152494102446695158335574,37,377.0,262.0,423.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.159022607381747517830500657748,38,374.0,257.0,426.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.318535364888004801813296210356,39,384.0,263.0,423.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.558912839501217206388035511041,40,398.0,270.0,427.0,289.0
