sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.282670118427579768549007294401,131,106.0,265.0,126.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.175609026225750010523203177376,132,101.0,262.0,134.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.281733131040653022805949079671,133,105.0,264.0,140.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.112802825498993295382233333081,134,108.0,256.0,144.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.187339376584856460507344468969,135,107.0,265.0,134.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.156693584625180929283464769330,136,97.0,262.0,136.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.112462700842561099871415084212,137,95.0,262.0,137.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.155533009425424939202572751868,138,99.0,262.0,144.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.301440410066613086609781141595,139,96.0,266.0,137.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.326642695185170300069243038934,140,97.0,262.0,136.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.739693998755024528666717847349,141,97.0,268.0,144.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.225038356879281101318611010298,142,104.0,261.0,131.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229519813440332644022636120922,143,101.0,267.0,134.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.189340973528576476811573546303,144,98.0,265.0,131.0,299.0
