sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.161102275767363540939795751528,48,319.0,195.0,338.0,212.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.879137733454546783133660560447,49,322.0,190.0,343.0,238.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.325654026238542839187030536361,50,319.0,192.0,346.0,248.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.453613432122588539856000304845,51,310.0,192.0,351.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.252197501902533954408452930211,52,314.0,193.0,352.0,250.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.878252564590539106451729398668,53,317.0,192.0,351.0,250.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.134119109192935394183403274433,54,314.0,195.0,361.0,251.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.239274549599176297470152208419,55,312.0,192.0,351.0,240.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.711483028534156549398466677726,56,311.0,195.0,354.0,249.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.135512089373794286542893875321,57,300.0,189.0,348.0,239.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.178142682626288384314296074955,58,304.0,192.0,360.0,247.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.115154333498092546670880153580,59,299.0,192.0,357.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.564460482867998357920270069871,60,297.0,193.0,351.0,252.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.327276994261975200577258646933,61,295.0,187.0,354.0,239.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.322835294394825108574739534110,62,298.0,195.0,356.0,240.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.449952437766068266802227459029,63,312.0,192.0,357.0,239.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.321458280499960793899744329062,64,314.0,196.0,347.0,235.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.277423700206814139228558744387,65,313.0,196.0,358.0,243.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.122237330108214801397025003486,66,311.0,194.0,355.0,247.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.221457360539602653159217237468,67,317.0,192.0,344.0,240.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.291273628260735500311915270753,68,310.0,198.0,349.0,243.0
