sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.252815176814843018931829693865,63,303.0,219.0,331.0,240.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.256876270890321376316449127230,64,298.0,215.0,325.0,244.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.684853204270899832269683792164,65,293.0,221.0,334.0,252.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.172190557775879659043098615664,66,298.0,224.0,328.0,250.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.219786303810754038249945941562,67,292.0,215.0,329.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.269456716760511525181868621883,68,297.0,218.0,331.0,263.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.191948339149141040750947236998,69,293.0,220.0,332.0,256.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.891703179885285205077377226552,70,289.0,218.0,328.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.948729370891380606717513329639,71,293.0,220.0,333.0,265.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.325006313728130106261684543926,72,289.0,216.0,328.0,262.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.167017866896588581193281444907,73,296.0,218.0,331.0,259.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.773676642156220424166086113647,74,295.0,220.0,334.0,262.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.252181330529054230273997288236,75,293.0,218.0,329.0,258.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.792089354632462525551196994996,76,291.0,217.0,330.0,257.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.243986737880848257929997309582,77,292.0,212.0,332.0,262.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.263972936949823953263860218770,78,298.0,219.0,334.0,259.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.603576681811929573608444092804,79,295.0,223.0,328.0,263.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.719965878343403903473450935572,80,298.0,224.0,331.0,261.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.460467109581599409887871584710,81,299.0,224.0,333.0,256.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.338227144588234732100549989502,82,301.0,228.0,328.0,256.0
