sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.304695116491102854726428088879,62,299.0,215.0,328.0,243.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.171885301493098468143659574341,63,296.0,216.0,330.0,247.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.253518336866166448389780794326,64,294.0,215.0,331.0,250.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.714566347078020617658807137877,65,297.0,215.0,328.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.270147123753733414382038733880,66,298.0,219.0,332.0,254.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.107599617095498906835561276995,67,298.0,213.0,328.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.197548446283932762249174030677,68,292.0,218.0,334.0,254.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.270307872347659108562005693540,69,296.0,215.0,331.0,267.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.131211943787414474674461753535,70,294.0,218.0,329.0,260.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.696161336506279946473063927063,71,295.0,218.0,325.0,262.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.203207008021473478387726617296,72,295.0,221.0,328.0,259.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.320111519648288909929202459721,73,295.0,220.0,328.0,261.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.372535622264279766378990255801,74,291.0,215.0,329.0,263.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.337660640727527317457122979131,75,293.0,216.0,326.0,257.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.745617045746878778955092516543,76,292.0,219.0,328.0,266.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.195038372632571789882159443183,77,298.0,219.0,328.0,257.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.338670431023678176307130143472,78,297.0,218.0,325.0,261.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.281100565453693939622366905021,79,296.0,223.0,331.0,255.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.249076447386227566495848762860,80,296.0,224.0,331.0,262.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.243905898480670125038767231069,81,292.0,222.0,326.0,254.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.979235249805094567736986158769,82,300.0,227.0,337.0,262.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.199533682119123474503787009596,83,304.0,227.0,321.0,259.0
