sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.506392657092770695632060262772,54,226.0,290.0,250.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.192653241989733932799099329654,55,225.0,292.0,248.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229337230725851315771547191593,56,224.0,295.0,251.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165922013318577544659335327316,57,224.0,292.0,251.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.329380675916052976056186867907,58,220.0,297.0,256.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.108437940485502543321429011190,59,221.0,289.0,254.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.108523832239873578979600404354,60,222.0,289.0,250.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.973319966330402476517925291688,61,224.0,295.0,253.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.187781178365839762070361655962,62,223.0,295.0,255.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.177456888744910242069057314999,63,225.0,292.0,263.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.149650896956651581746989229645,64,226.0,294.0,257.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.289645526127369683209858349368,65,226.0,296.0,254.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.309756696041683538396536036448,66,219.0,291.0,253.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.989072760044706970791049414337,67,229.0,297.0,252.0,321.0
