sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.157539421487330200974607473885,104,148.0,236.0,177.0,262.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.115960072827457022664896262318,105,145.0,223.0,172.0,271.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.731846437759484930506390400140,106,143.0,234.0,183.0,275.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.192327231751288824377498944672,107,147.0,232.0,184.0,262.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.242442784510556482188096809109,108,142.0,226.0,178.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278142340804737218083104782750,109,144.0,230.0,178.0,265.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.186099268809265901420943085544,110,145.0,230.0,187.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.210475867111661626228592906410,111,137.0,227.0,181.0,262.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.106031697231735503145088922878,112,142.0,227.0,173.0,259.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165375824898297311594410572527,113,145.0,227.0,182.0,265.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.260926849010231205059901179352,114,138.0,227.0,185.0,265.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.247471319147379678794121895275,115,142.0,227.0,177.0,263.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.706602088789228706832572572411,116,142.0,229.0,182.0,264.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.283930117169301994745825571842,117,146.0,226.0,181.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194506214071569142307895363387,118,144.0,231.0,180.0,266.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.175176405298168498680158766912,119,145.0,224.0,178.0,263.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.187833501685779676153855791376,120,144.0,221.0,181.0,267.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.152681727552971090061523493973,121,143.0,224.0,177.0,267.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.326226217342264732951743489958,122,145.0,226.0,179.0,262.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.219101687942687659049640239691,123,142.0,233.0,181.0,265.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.105659499731935555503435203152,124,145.0,235.0,175.0,264.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194479452880804206327302058979,125,146.0,236.0,177.0,260.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.266851658075125366288238100359,126,149.0,234.0,176.0,256.0
