sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.657685080128847273383406839163,52,153.0,242.0,174.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.238651230808681590505476307493,53,150.0,231.0,179.0,267.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.232520102873224333427184153855,54,148.0,232.0,184.0,265.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133162106309871566183050848600,55,144.0,233.0,176.0,267.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.609140240183065107868624685673,56,144.0,230.0,182.0,267.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.120101827234866671215060185083,57,143.0,230.0,179.0,263.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229813858230544307750602045774,58,146.0,233.0,181.0,263.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.129031905842101153410433679851,59,143.0,232.0,184.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.409910677431761969224265138688,60,150.0,233.0,176.0,262.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.289158609991261876057599212402,61,146.0,230.0,180.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.272074910995387083873413372768,62,149.0,230.0,180.0,271.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.810982045831189209352198589869,63,151.0,229.0,178.0,270.0
