sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.329962777154244105613942252979,191,191.0,344.0,220.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.312085882580039199376168550872,192,184.0,344.0,219.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.162323585842502982172621180297,193,185.0,347.0,218.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.111651254173993911004769162341,194,180.0,343.0,222.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.126917515198988787139356150502,195,173.0,346.0,219.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100956814815779265569341273632,196,174.0,339.0,213.0,387.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.260889727656250053558720998053,197,169.0,337.0,219.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.334674809891218912604960198413,198,168.0,330.0,219.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.525821330705832825083787940066,199,163.0,332.0,214.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.118086296377603860893780858513,200,167.0,336.0,217.0,381.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.326836574014878825890617899153,201,157.0,333.0,224.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.259027627190371786066586426811,202,165.0,336.0,222.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278361526998901430127753342391,203,160.0,335.0,215.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.200144035661279939209298500248,204,163.0,337.0,216.0,385.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.550124903518375961275881344805,205,160.0,333.0,218.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.247733240614926566202481542055,206,166.0,330.0,223.0,392.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.914837602636297935254000326132,207,163.0,332.0,216.0,380.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.106772315110817239456021298829,208,165.0,339.0,220.0,387.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.149151255349527664006120430417,209,169.0,340.0,210.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.178994543849735976519195486628,210,160.0,339.0,210.0,384.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.232738409069848482389653898387,211,170.0,339.0,207.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.309993033783853856891135241362,212,160.0,336.0,208.0,382.0
