sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.234031165267479126224309236136,30,178.0,238.0,204.0,279.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.247967792252932575312454881432,31,171.0,244.0,202.0,284.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.311842707737357370372798548279,32,172.0,239.0,205.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.316048481773739358186085929014,33,175.0,242.0,201.0,278.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.254880320224239016492734327470,34,168.0,240.0,198.0,277.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.236504489583719451080504793202,35,169.0,239.0,200.0,279.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.928955708690184035323537857796,36,178.0,243.0,208.0,290.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.324679519787227701813586320707,37,172.0,245.0,201.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.445748236657248106745983735515,38,178.0,247.0,210.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.834543889259287642242157144276,39,178.0,245.0,200.0,279.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.212816963457941695905528634849,40,172.0,248.0,206.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.306702429804554978397293162044,41,181.0,250.0,209.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.721936156957131961757100247909,42,178.0,250.0,202.0,277.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.314124116059325806271034232058,43,175.0,244.0,201.0,274.0
