sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.164772643054619808572003517646,29,172.0,247.0,202.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.338486905456519932601362827374,30,171.0,242.0,213.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.273182476502938246248580510897,31,169.0,239.0,201.0,276.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.541655672829907719358800172655,32,169.0,243.0,201.0,271.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.193647193174525095261593295315,33,171.0,243.0,205.0,277.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.276376658980244533555104083775,34,172.0,248.0,201.0,272.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.690459300087378718141085672019,35,172.0,242.0,200.0,278.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.247942019618491828028689250195,36,174.0,245.0,201.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.291898883910552012052801512105,37,178.0,246.0,205.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.153664441868976968033900160739,38,177.0,243.0,207.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.291040680844403467592172569921,39,175.0,242.0,208.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.262956581991523310858783067218,40,174.0,247.0,205.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.262324939798083622159212408062,41,174.0,245.0,204.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.936823918851339372199070155049,42,177.0,250.0,200.0,280.0
