sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.122816313718414230703733803490,6,341.0,248.0,373.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.103623394824044731345102211780,7,340.0,244.0,384.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.213128801892474488597729329867,8,334.0,245.0,391.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.140921240461532033032917294180,9,325.0,236.0,401.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.245412645950247451843113820503,10,322.0,231.0,431.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.164344320996982198623922744943,11,321.0,225.0,410.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.261720264629142276857933592848,12,315.0,218.0,416.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.211829198093985240334860901247,13,316.0,203.0,419.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.309470896692012941508834994311,14,312.0,184.0,419.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.806885932611853356307666367438,15,319.0,189.0,425.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.146386212996436183529362320980,16,312.0,183.0,427.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.150561895599720095176255652081,17,317.0,187.0,434.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.240873451925641361266652165453,18,310.0,194.0,426.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.105402768593989805589089330224,19,313.0,196.0,425.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.237164004285322943399334598371,20,322.0,198.0,417.0,328.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.163461734817514121774014735940,21,325.0,200.0,413.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.331036625490241655961602928819,22,339.0,211.0,398.0,312.0
