sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.288826948770042918511118185701,57,336.0,244.0,354.0,264.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217623495133398708977490626415,58,327.0,239.0,365.0,271.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.139171470841476977980064981322,59,326.0,235.0,353.0,267.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.259425043860770040295830218071,60,333.0,240.0,362.0,271.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.209881929475459185459433377485,61,333.0,239.0,361.0,274.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214505559217716781255611052658,62,330.0,236.0,357.0,270.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110370439392678126746441219738,63,330.0,234.0,360.0,272.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.213962336809728974655861920180,64,324.0,235.0,365.0,277.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.557176806161935107526621319968,65,328.0,236.0,365.0,277.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.277548008914856088315208575029,66,321.0,230.0,367.0,288.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.572467913041551056901644995076,67,328.0,237.0,363.0,275.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165604797497036040893975535069,68,322.0,237.0,362.0,275.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.582696118048139969920838883620,69,321.0,236.0,363.0,276.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.248089172594461058166439396560,70,328.0,238.0,360.0,271.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194016130912073206028132562707,71,320.0,238.0,366.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.281211611825275351559711665774,72,328.0,238.0,360.0,276.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.973536521446605263816533732650,73,324.0,237.0,357.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.140805502934277713201420802945,74,322.0,243.0,365.0,276.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.267916377035666785445718337172,75,325.0,242.0,357.0,271.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.288907222501065095592520910243,76,332.0,243.0,367.0,270.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.314742354070357236168126456246,77,328.0,248.0,361.0,274.0
