sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.194987189175327756344158254415,33,340.0,310.0,378.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.698859445628804935507079284855,34,336.0,303.0,383.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.258775629734254239999306681318,35,339.0,293.0,378.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.280406234256985183976844733426,36,340.0,302.0,385.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.779170819093743808064779809491,102,352.0,268.0,381.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.153953906033906091257230377511,103,343.0,267.0,386.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.236371725700449240634201962513,104,345.0,267.0,389.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.163552867549229505318001434778,105,342.0,260.0,386.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.277294489012986565974929984914,106,342.0,254.0,381.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.692754325734910479287469317691,107,342.0,253.0,387.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.215505839544583391261447557316,166,342.0,273.0,387.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.211301515568026721655686266758,167,342.0,269.0,389.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.142529320919317259012283130862,168,337.0,258.0,386.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.228095830293939235890942814300,169,339.0,253.0,388.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.230202578302281916644734073672,170,344.0,267.0,384.0,316.0
