sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.103003155474373800864323280630,190,125.0,389.0,155.0,418.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.260701748968742122890176340620,191,120.0,390.0,151.0,423.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.218834507628897972228423173583,192,120.0,389.0,150.0,420.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.105338519774762765239746499608,193,119.0,386.0,155.0,419.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.336473948764872335773249105960,194,118.0,386.0,154.0,418.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.786409219042230229233937115289,195,119.0,389.0,152.0,415.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.420987113040099435527382988677,196,120.0,386.0,154.0,420.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.144690713983626052264399039153,197,111.0,380.0,156.0,418.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.298112115174691771793352603672,198,117.0,385.0,158.0,427.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.121296872665278049988196424517,199,117.0,381.0,149.0,410.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.201592078127248962100617105927,200,111.0,383.0,156.0,422.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.619254144901698385380960465597,201,116.0,378.0,158.0,421.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.416686812080810904932448878685,202,112.0,380.0,148.0,409.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.187930664298683775723218440070,203,110.0,382.0,151.0,424.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278027522042148279797226469595,204,113.0,379.0,151.0,421.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.892675046903280350911300182668,205,113.0,379.0,151.0,414.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.239570040925825291254876075669,206,117.0,380.0,148.0,417.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.179833423393415789460990156973,207,114.0,376.0,148.0,421.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.817184937892646666520904743596,208,116.0,377.0,140.0,411.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.691223489896317176425700989729,209,117.0,386.0,143.0,421.0
