sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.231634385605147373311772382852,191,125.0,392.0,156.0,421.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.261220782966252130619587687468,192,122.0,392.0,148.0,418.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.112068679371454410973574690009,193,122.0,389.0,148.0,417.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.225731238886660102738612958559,194,119.0,383.0,150.0,421.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.545072134121683413747373449767,195,122.0,386.0,147.0,417.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.735925410171759671619674533656,196,116.0,386.0,151.0,425.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.271724991069244347827256553004,197,119.0,386.0,147.0,424.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.177957360272907466291662460855,198,115.0,382.0,148.0,418.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.327766642319237249574114985190,199,114.0,378.0,145.0,418.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.113479027355262890974742899183,200,119.0,375.0,154.0,424.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.161516985114393686255040893451,201,113.0,380.0,156.0,415.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.228234799406530458934415404532,202,116.0,378.0,146.0,415.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.237950298306935711055629374120,203,113.0,380.0,149.0,411.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100820478852430827631617071296,204,117.0,379.0,142.0,412.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.125532422922535861516616592906,205,115.0,377.0,145.0,421.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.252403650347673628728000718478,206,113.0,384.0,148.0,412.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.325131113879327702431462435208,207,114.0,382.0,148.0,418.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.197827735003803476738610430916,208,114.0,382.0,142.0,415.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.183755114473903406650971895195,209,119.0,386.0,145.0,418.0
