sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.286187581348804360041116422113,29,334.0,318.0,393.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.687670569334588367961523488123,30,329.0,306.0,392.0,370.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.587219517597554504759945840817,31,332.0,307.0,387.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.156517131544081259791031332836,32,336.0,303.0,403.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.334572563746899796491014472647,33,338.0,302.0,413.0,378.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.827315659916659538255542016362,34,334.0,295.0,395.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.227765017090071218339505397552,35,341.0,298.0,402.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.134356966375548565095070824199,36,325.0,289.0,392.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.258721712516700087402397513765,77,322.0,303.0,393.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.423529279727544557872363560392,78,324.0,315.0,404.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.249197461385407542627439708381,79,325.0,309.0,390.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.139246341399275286866405201363,80,330.0,295.0,416.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229215572387278376015748376324,81,339.0,303.0,400.0,369.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.310722579824925928462383094392,82,339.0,294.0,392.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.222039756557325875745628905528,83,332.0,292.0,392.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.689304233311196766865836129351,84,336.0,292.0,394.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.300112884117481887394029325349,124,331.0,322.0,395.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.121458338648493254210247268867,125,333.0,315.0,385.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.188820884948930765338187197823,126,331.0,312.0,400.0,387.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.275345830903824011042777161343,127,325.0,307.0,392.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.745921037598023090079887297718,128,338.0,297.0,396.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.504438845428538002487813024886,129,329.0,303.0,394.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.128397836864903035298357316049,130,334.0,295.0,404.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.200573809926209666823656257378,131,348.0,290.0,396.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.946423011034952003067130251148,132,334.0,289.0,395.0,353.0
