sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.110172117181137067237162945403,41,196.0,268.0,235.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.158026925507868607095316516982,42,195.0,268.0,231.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.114283016194346813720455845951,43,191.0,274.0,232.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.241342638039806005908003210321,44,191.0,266.0,241.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.335147429810921504979747868081,45,195.0,265.0,238.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.210392727979568947691502034732,46,187.0,265.0,230.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.498791478367804647211567798291,47,197.0,271.0,227.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.564580252701904629609377599190,48,195.0,267.0,223.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.929851098055242505077792370114,49,195.0,265.0,228.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.213882016915044296366929129895,50,197.0,269.0,229.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.725339194436045741931946451473,51,193.0,262.0,222.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278679792821768043867789149873,52,196.0,268.0,219.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.303066557323507919846913850552,53,195.0,271.0,221.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.184105089248916659354447184244,54,198.0,271.0,227.0,294.0
