sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.716585202416020429643967116381,7,139.0,259.0,203.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.116165299731703041420606715474,8,128.0,259.0,209.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.249879273122609545213472991105,9,131.0,260.0,217.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.106250137929254649535797556734,10,120.0,259.0,226.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.176644022469336699040760336089,11,130.0,266.0,217.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.502908736324824773826038831207,12,143.0,276.0,214.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.328546717526369023473810526373,13,137.0,275.0,219.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.129387352711867554763524915863,59,148.0,267.0,205.0,328.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.223570150161761071600677075698,60,143.0,264.0,219.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.138007891838528495823175965625,61,138.0,260.0,219.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.292092058543159125232861789306,62,126.0,261.0,216.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.245425320241087541347454730296,63,130.0,265.0,219.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.130119522318702303150755667771,64,136.0,270.0,218.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.224705330238375643061150035638,65,147.0,274.0,219.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.275442888102749796061704392844,111,140.0,267.0,208.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.681373472953982016141425966678,112,140.0,265.0,208.0,328.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.125409993117373329720386124944,113,136.0,265.0,225.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.969957221372508936899591748707,114,126.0,261.0,221.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.107113424520468357387196739030,115,137.0,265.0,219.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.203663993337973405891665573848,116,130.0,267.0,222.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.331341842600545755528949470783,117,136.0,271.0,213.0,343.0
