sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.961291649461655818175603968264,33,165.0,339.0,207.0,373.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.839942285070272120088434686287,34,172.0,336.0,209.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133872256393804279032464709561,35,173.0,335.0,208.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.186864488252948463199049807982,36,171.0,337.0,211.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.286344638515459745727497678087,37,174.0,339.0,207.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.167458692216409729095197314246,95,170.0,342.0,198.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.204390865294943016000359446534,96,172.0,341.0,203.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.553744313508527071843364133333,97,173.0,339.0,211.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.101095483104660679688905907948,98,177.0,336.0,215.0,370.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.955182808417439584961774662709,99,174.0,337.0,206.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.283490121266733243392909471295,100,175.0,343.0,204.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.275011152343243407341701322317,163,165.0,333.0,198.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.970606947757834344266307799593,164,173.0,330.0,208.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.159647876348240521424659591161,165,171.0,334.0,206.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194323387237010400750344609301,166,169.0,332.0,208.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.166100995658251386204456532769,167,171.0,333.0,199.0,363.0
