sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.441863110240309105160697614351,32,388.0,232.0,429.0,285.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.227963292913724360532274583761,33,382.0,229.0,430.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.522697543203658817533464594898,34,387.0,224.0,430.0,284.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.173877845844328663416789910011,35,389.0,225.0,423.0,282.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.477393632725371034207056571425,83,386.0,228.0,425.0,282.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.316826865689715738685164155117,84,379.0,228.0,428.0,288.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.258125939589330717903749321664,85,380.0,228.0,428.0,284.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194057443431197008594559673786,86,383.0,221.0,425.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.268692884902991182452590991808,132,383.0,233.0,435.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.264597408744508319995463663206,133,380.0,233.0,433.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.263325139043619933387565219243,134,387.0,235.0,433.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.245285135339224559878838431268,135,391.0,229.0,424.0,284.0
