sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.206638286460498277261361719873,13,115.0,295.0,196.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.216323436571384514652377160308,14,115.0,283.0,200.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.298038244698389440813317228185,15,114.0,281.0,195.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.598614310462018342139031612441,16,112.0,274.0,190.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.219254273779797340746347430393,17,110.0,267.0,193.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.296206507455683516698588330645,18,109.0,265.0,195.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.416454336722835269687113811209,19,109.0,267.0,187.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.130659495160698059506059005446,20,119.0,269.0,174.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.241290484733542340718609955710,21,123.0,271.0,165.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.212596674709971109418494205889,63,111.0,289.0,197.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.203980280433980881752228616173,64,115.0,288.0,200.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.332475388016297672189980168125,65,111.0,277.0,198.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.334934339528018080863119205129,66,111.0,278.0,194.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.162334499780561918630675608474,67,112.0,271.0,192.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.104233254777684174426066526388,68,106.0,271.0,195.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.235618313382039232885830942157,69,111.0,273.0,185.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.156599696027300234674696622356,70,115.0,273.0,178.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.192894726010931686644093132656,71,123.0,275.0,162.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.237125183582375520758994078743,113,115.0,289.0,193.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.212041881437001789418575688552,114,117.0,288.0,197.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.180457779255541369994003791505,115,109.0,276.0,201.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.321497556546424469767781728745,116,112.0,275.0,193.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.112678105195181754718388127022,117,107.0,273.0,189.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.793285460376752460880915105344,118,111.0,268.0,196.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.272866130793700342099807043586,119,112.0,261.0,187.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.308669889718603384946030112213,120,109.0,262.0,168.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.160877587934479000604130654597,121,115.0,268.0,168.0,321.0
