sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.689810800449539844533404161996,154,303.0,350.0,323.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.129252206623044343872648176833,155,300.0,346.0,323.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.173464656133412645631410069712,156,301.0,344.0,323.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.231330356302140875109990492994,157,302.0,345.0,328.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.313032703319032188463660200759,158,305.0,347.0,324.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.381882492576106001579549214010,159,298.0,345.0,326.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.199425028685700384163103936381,160,294.0,345.0,333.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.206548123613283460737520998270,161,298.0,346.0,333.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.103879263106448982102412505900,162,302.0,342.0,333.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.923984129925808931479977506471,163,303.0,346.0,333.0,393.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.854849107926921125546216096528,164,301.0,341.0,337.0,393.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.148820432709468190324510204225,165,296.0,341.0,338.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133614758743670685242481774025,166,300.0,339.0,340.0,391.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.131255932065591465659165105209,167,301.0,335.0,334.0,385.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.213401413165160041084765255182,168,300.0,341.0,340.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.176940504484736968259087386323,169,301.0,340.0,341.0,385.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217481971163890351312857136530,170,301.0,338.0,339.0,381.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.152908684295944294721282460757,171,305.0,341.0,335.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.188872877072059288213440806786,172,299.0,343.0,333.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.215807487409481809327795115678,173,300.0,337.0,331.0,381.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.242111922345047178306888358418,174,299.0,336.0,334.0,385.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.154019260831716313536344163829,175,305.0,334.0,337.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.336577059753904483613056177133,176,304.0,332.0,333.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.493884020399750156452885909894,177,301.0,339.0,342.0,391.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.292762433747353195139464233922,178,310.0,346.0,343.0,393.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.140097593917928422419733045047,179,311.0,349.0,330.0,391.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.182325626818224260947872293212,180,314.0,351.0,332.0,391.0
