sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.549089369420784223510179224363,65,144.0,253.0,202.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.416926919345737183962669200026,66,150.0,254.0,208.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.199303472007468357916448689014,67,148.0,253.0,198.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110665692179583335149186480924,68,153.0,253.0,210.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.683520307641936568893518896576,69,148.0,251.0,201.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.394930614040972134143921868484,70,149.0,250.0,205.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.606940494473810640817826899034,71,145.0,246.0,203.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.246893249634354640639834307993,72,151.0,246.0,202.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.318738427251629863882272454376,73,144.0,252.0,203.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.161853175647798582267342043100,74,148.0,246.0,208.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.301502933737879007263899031215,75,141.0,246.0,211.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214253636311822753372716677445,76,149.0,246.0,205.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.339653580845124409359636522713,77,143.0,243.0,206.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.291433097287665660855587456163,78,144.0,243.0,205.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.198640629435444641980471801077,79,142.0,242.0,211.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.248293874386287235625581786972,80,137.0,242.0,207.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.292127571385909339002818677482,81,147.0,241.0,206.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.148026586024791358852548342211,82,137.0,241.0,208.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.220322033315271964504999693860,83,144.0,245.0,205.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.282989113624161177696544888863,84,142.0,246.0,205.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.310696940294779994095715089823,85,137.0,242.0,211.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.837864075014088538892661518350,86,144.0,247.0,218.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.311991408949517175981693470027,87,148.0,242.0,219.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.421030441216755316272440421616,88,140.0,243.0,214.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.787454274131462635048865270708,89,148.0,246.0,219.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.312776013236422105538298974371,90,148.0,247.0,216.0,315.0
