sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.160935754657224847852870696659,39,161.0,254.0,198.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.314711456025550257689027809525,40,162.0,258.0,194.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.125004065478825913850681402828,41,161.0,253.0,196.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.949876952436458689556689637491,42,162.0,250.0,198.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.314170753965384766204256146722,43,158.0,247.0,198.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.138586206413097446719191517429,44,153.0,243.0,200.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.123152258162951160269417798700,45,148.0,240.0,201.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.109746191645116304656899716362,46,150.0,249.0,201.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.957922247220616576455741426701,47,152.0,240.0,200.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.765174063109806268465742408489,48,150.0,241.0,203.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.496777908715007795435722181412,49,145.0,241.0,202.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.164094523717820590868971215366,50,149.0,231.0,205.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.325737289180005309691320946250,51,142.0,239.0,202.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.227555827429646435598665906752,52,144.0,234.0,205.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.247900325730978859943619354877,53,146.0,238.0,207.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.305428814463957302181215751285,54,147.0,236.0,205.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.285964100487397135956296297668,55,146.0,240.0,211.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.777902222912462526766622069115,56,140.0,239.0,209.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229554598409432382830135454477,57,151.0,230.0,208.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.208407776470936106230378203434,58,147.0,239.0,210.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.173592274194797778716390845694,59,149.0,243.0,212.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.130475766344345041633164880875,60,148.0,243.0,208.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.636875001632685800332481499651,61,144.0,234.0,207.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.669479990620617597927368827421,62,149.0,242.0,209.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.933429063211039942459369417314,63,153.0,246.0,208.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.659380714278729045787612756799,64,151.0,239.0,205.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.117413373285455311724907495993,65,153.0,249.0,212.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.155452545590518056940817985027,66,154.0,246.0,206.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.237279587991120392335466488781,67,151.0,235.0,212.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.299917300373890555362393616329,68,162.0,246.0,211.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.149347314219314143558668543110,69,155.0,249.0,212.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.752214869866024710314760992692,70,158.0,254.0,216.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.154865746287019254102938693573,71,151.0,250.0,210.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.120613507963868068654410741892,72,162.0,243.0,208.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.755620654601316552627517004514,73,158.0,252.0,216.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.308828104803756710231295374684,74,165.0,247.0,217.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.204154156488480805353625750785,75,162.0,246.0,213.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.132742251434943464174234751277,76,173.0,249.0,210.0,304.0
