sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.136330605608838324219816820300,148,169.0,266.0,193.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.247531453232657085007038269246,149,165.0,266.0,195.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.206581116018201165111436077654,150,166.0,269.0,194.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.215933538163072585657063669555,151,160.0,258.0,194.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.122375763070242278959934966707,152,156.0,256.0,195.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.268619827214825148130815669696,153,151.0,246.0,202.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.401090570167316453405025187237,154,152.0,243.0,204.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.146239586779031388165266624520,155,151.0,246.0,200.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.285723878562812007440091585605,156,150.0,244.0,201.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.331739704289605847210208621856,157,148.0,243.0,202.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.843224964746574516884841353978,158,146.0,243.0,202.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.140255919388809588348408901781,159,137.0,239.0,205.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165101369056503287659443880474,160,143.0,241.0,208.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.266630340079925932605657775591,161,148.0,238.0,208.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.264624695430292126625425277709,162,150.0,237.0,206.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.154777740445358057469055629583,163,145.0,234.0,209.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.333583443393305833983964050392,164,147.0,234.0,212.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.171382153594553159213423230722,165,148.0,235.0,213.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.329477815761166118761301655256,166,150.0,237.0,212.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.156778327328038342059268049212,167,151.0,243.0,210.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133808895762262420746241396928,168,151.0,234.0,216.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.301321958176300529870174229706,169,149.0,250.0,208.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.981081289509014788657466958762,170,152.0,247.0,212.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.448200448778494439663752413369,171,158.0,252.0,212.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.132638485305190443352056533993,172,157.0,249.0,212.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.298493833223006902178154666236,173,149.0,248.0,210.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.152159879194316656459111272170,174,158.0,256.0,212.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.756215031392449838939381254546,175,160.0,251.0,209.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.981690943361774370816195470394,176,165.0,252.0,208.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165654211812814022003755867462,177,158.0,249.0,202.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.290363153658746878298920584501,178,161.0,251.0,212.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.596286139142596306014856094572,179,160.0,243.0,217.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.132415521754403109479256222252,180,162.0,250.0,215.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.317269691350205438846898823466,181,159.0,250.0,206.0,297.0
