sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.206641985551017814237496194791,36,318.0,242.0,354.0,275.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.398110113984621734329046801658,37,313.0,239.0,351.0,269.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.224168319582535187344546489528,38,315.0,241.0,351.0,271.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.243242641735746066598817729774,39,308.0,236.0,347.0,271.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.408124901302424075677836702129,40,313.0,230.0,357.0,275.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.288032208293379023626380863289,41,305.0,229.0,356.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.107670899801228583755122085612,42,309.0,230.0,353.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.211875013040604502028790894833,43,301.0,228.0,348.0,274.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.267583342163768432428033751058,44,306.0,231.0,340.0,272.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.184695495387832295718071750789,45,307.0,223.0,345.0,271.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.160805756412885797460276760965,46,304.0,226.0,349.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.269256285512087532913014711299,47,311.0,224.0,345.0,271.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.174013723992790171847834878037,48,307.0,227.0,357.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.635112202331172562168387324791,49,304.0,226.0,344.0,274.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.650330351201035986155984916844,50,305.0,228.0,347.0,270.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.328826095195574458675454760159,51,304.0,221.0,341.0,274.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.241149874652386157150291104959,52,308.0,221.0,349.0,274.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.207801813044552566412748443351,53,310.0,222.0,344.0,270.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.186685262514071105067370209360,54,307.0,221.0,345.0,277.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.318058095923104975574288680327,55,305.0,221.0,350.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.190969797477563064587069338486,56,310.0,236.0,348.0,265.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.176205054550746012182104115106,57,310.0,213.0,363.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.115402892692781213735434363115,58,306.0,212.0,367.0,290.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.333067829003686199470280714970,59,307.0,220.0,350.0,274.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.241867162343993366178046259302,60,304.0,224.0,347.0,274.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.271054945409049688097846654783,61,306.0,213.0,358.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133974993063360754304692687893,62,303.0,206.0,346.0,273.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.323866617584410844687630093735,63,307.0,221.0,360.0,287.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.239866640421781987353156408662,64,306.0,208.0,343.0,276.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.281979133261785314805926511728,65,304.0,212.0,344.0,274.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.124185248667952062699818017110,66,301.0,205.0,337.0,277.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.136772383439129065809886570556,67,309.0,216.0,351.0,278.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.277174046568144602185575516985,68,308.0,209.0,337.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.620777630292572556571571389510,69,310.0,212.0,338.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.197578681976239531430613806017,70,304.0,204.0,332.0,267.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.121351515907879478368254432963,71,305.0,221.0,335.0,270.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.312223035766138411991804125088,72,303.0,210.0,330.0,263.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.120590903335665493940934519972,73,310.0,218.0,327.0,254.0
