sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.220729024860324605847923053576,69,153.0,219.0,175.0,246.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.233993073488871811313047268442,70,151.0,218.0,179.0,245.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.479722690573462467033615248891,71,154.0,215.0,173.0,239.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.208747706216950796955229215183,72,148.0,216.0,180.0,246.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.875228323040781828146045107639,73,151.0,220.0,184.0,251.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.307962670969389722831383267565,74,153.0,207.0,182.0,251.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.337710604932362376528484999139,75,150.0,217.0,183.0,252.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.670592342021105343490142980945,76,152.0,211.0,193.0,246.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.153987856415447800600584127041,77,151.0,220.0,173.0,243.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.234197142307919261833300752077,78,148.0,216.0,173.0,249.0
