sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.949292038812714561624315628922,161,201.0,275.0,215.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.232870115083078040462018458391,162,192.0,271.0,217.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.159645084649963149933794625454,163,186.0,270.0,223.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.253824294617897462458359516509,164,177.0,263.0,226.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.336055157263193573789982439816,165,182.0,259.0,223.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.291498057299915951384004623258,166,179.0,262.0,232.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.260654925488454431442507191618,167,179.0,259.0,229.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.385280721063440144120938977502,168,172.0,259.0,232.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.186691666733167491047281003078,169,172.0,257.0,231.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.192374598161491387752969519991,170,170.0,256.0,237.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.140684060744626542347404349356,171,169.0,254.0,233.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.568724637669153879831956499482,172,169.0,249.0,230.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.104527628223275227086690022491,173,159.0,244.0,238.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.112704926560935818694485615622,174,160.0,248.0,234.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.956076828442810395459966331302,175,162.0,248.0,237.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.300726404051714293920263745781,176,160.0,247.0,235.0,326.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.238352525509515589371213580961,177,162.0,251.0,229.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.239688696846058170828483113988,178,154.0,245.0,228.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.185285706884434954283860752361,179,155.0,245.0,229.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.285877715783423957244042326326,180,150.0,236.0,232.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.136570533348542098805371511925,181,148.0,244.0,228.0,324.0
