sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.138031636560857622917703351817,75,358.0,276.0,387.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.993009671244168804905627804130,76,359.0,278.0,385.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.185048629777355370966339173603,77,361.0,278.0,390.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.107163585781703108719588216921,78,364.0,280.0,390.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145088653840921675845965343729,79,361.0,278.0,388.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.138558965909934899203920251103,80,361.0,277.0,389.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.108494463292114128240263664465,81,357.0,275.0,388.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.104025358366738375139816725609,82,362.0,268.0,388.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.315178333225671542054934992841,83,357.0,267.0,391.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.239063382627015608376460363395,84,358.0,270.0,390.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.543477935794680154650134121699,85,359.0,268.0,387.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.154938529955147541378670388553,86,354.0,268.0,384.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.252200895068253011750765249571,87,351.0,266.0,384.0,305.0
