sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.425888151067955375103475519935,168,144.0,261.0,172.0,287.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.224264621940089209644711768956,169,147.0,245.0,183.0,290.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.271372288418325220442639245080,170,142.0,250.0,179.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.860291743604373841164805906892,171,146.0,257.0,179.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.615814149530993157794640632563,172,140.0,262.0,175.0,285.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.293054590527324813883024480927,173,142.0,264.0,177.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.248835570056988165838479192286,174,142.0,259.0,181.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.148757275985438321214034987121,175,142.0,241.0,183.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.709597859156875903796622771104,176,143.0,236.0,185.0,320.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.113241981667756716597257208671,177,139.0,234.0,186.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.151002895614988984018603652092,178,138.0,222.0,189.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.193585521758911467385444169670,179,134.0,214.0,193.0,320.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.184657952852902381075066720776,180,132.0,221.0,187.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.338298960465145015803900497248,181,134.0,225.0,191.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.334094864653394841790779304521,182,131.0,230.0,199.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.299366918424859541320658590826,183,132.0,225.0,192.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.187520637296001459220656160197,184,128.0,225.0,195.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.193093583477312633333018619376,185,129.0,229.0,200.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.607211826181779603080032731646,186,126.0,229.0,203.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.126438384196502628989129273190,187,122.0,228.0,199.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.162862927011030845904580137993,188,121.0,227.0,209.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.313667632543685093561415384979,189,126.0,227.0,208.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.258161654011438872444600837865,190,123.0,224.0,210.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.250362331606711160503836221118,191,121.0,223.0,199.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.240210516253938167847403514495,192,120.0,223.0,199.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.796720467874599140192965803959,193,119.0,229.0,199.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.750987178583913123643256581766,194,119.0,224.0,197.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.129806150818782223531305306104,195,116.0,225.0,194.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.437305636766478288842814047108,196,116.0,228.0,196.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.190305078929191138546636591026,197,116.0,228.0,195.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.223676949805677439762955610787,198,116.0,224.0,197.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214847888477395100754170659049,199,115.0,225.0,195.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.273915914500086585338482749585,200,113.0,219.0,187.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.192861975881822429991033421028,201,115.0,216.0,200.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.356770002940238958688509985468,202,119.0,223.0,194.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.281012503574112575232615130082,203,117.0,224.0,196.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.370948552598893261538761115469,204,115.0,219.0,189.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.598005132847432943900518447629,205,119.0,220.0,188.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.279608195979672249911095208549,206,118.0,220.0,188.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.473763042164825653855837592253,207,130.0,221.0,186.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.893188777688371347340240599462,208,134.0,229.0,191.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.330653362906658588319441364292,209,137.0,223.0,185.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.108908353512008994641840144161,210,137.0,230.0,184.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.338495176313169531509906931967,211,138.0,236.0,182.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.273322619928653252942746487985,212,139.0,237.0,185.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.147300079575451156229068641070,213,142.0,238.0,185.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.205920162465949065092781640249,214,143.0,239.0,184.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.816581768455830384559574820300,215,151.0,242.0,183.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.103267143188046621064509251074,216,153.0,241.0,185.0,308.0
