sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.131905028235616761077684518500,68,166.0,268.0,215.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.968709135553469179822382522533,69,152.0,262.0,208.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.320021674309639795515288604812,70,158.0,264.0,208.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.261343991109279754175777231636,71,153.0,264.0,212.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.306478440934225977139018609010,72,156.0,260.0,208.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.173737966071376891476095091672,73,161.0,261.0,224.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.293993149037462926696466540119,74,160.0,250.0,215.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.243605016373621506006617412740,75,152.0,261.0,218.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.621174411219986155962707856102,76,149.0,257.0,213.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145221683931853629248666615608,77,151.0,259.0,217.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.745142888086649782444358616815,78,150.0,257.0,215.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.314529687337661849436047038130,79,150.0,252.0,214.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.228932339888942185667596536898,80,152.0,257.0,216.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.247420850921719681584631533041,81,151.0,249.0,223.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.286393252938842029218897709055,82,145.0,252.0,215.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.152722281079323652949819836226,83,151.0,257.0,222.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.154011230716393618539580826061,84,148.0,256.0,226.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.168582999520764996783690900893,85,148.0,264.0,216.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145921292553148463310878346336,86,144.0,260.0,214.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.188631275320573259372370791385,87,147.0,253.0,222.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.249727600492312660743997604083,88,147.0,257.0,219.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.227701538312475238282950967751,89,142.0,259.0,226.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.191604777953747047017900316323,90,152.0,264.0,228.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.158402052939460432891749096415,91,140.0,248.0,221.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.289995672352495038987926471969,92,137.0,255.0,224.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.527194882247662696370834753922,93,137.0,246.0,227.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.258069948799169819394072088891,94,133.0,249.0,234.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.248901852446928670296995136575,95,136.0,248.0,238.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.690381914301715351131790934109,96,139.0,249.0,227.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.204237842400768521851045658309,97,134.0,246.0,230.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.960684186193217535467448136457,98,130.0,243.0,225.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.189666751056518584296170710490,99,137.0,252.0,226.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.700501939804551053269324067580,100,140.0,248.0,230.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.187740986022904039313122428510,101,130.0,245.0,236.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.411473875311204193948426880126,102,135.0,248.0,230.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.242170820772982719918971832098,103,134.0,243.0,233.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.253484694608092419021457983896,104,134.0,243.0,227.0,320.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.259781681944430931360392835145,105,132.0,216.0,226.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.804859108667338017572945857004,106,125.0,218.0,237.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.302732664222434255082402872087,107,126.0,211.0,232.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.972805823918131362869166881299,108,123.0,212.0,230.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.140513573708473583486160323417,109,125.0,220.0,225.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.124375506531321544070303205752,110,119.0,210.0,233.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.392042587001253836000079184530,111,121.0,213.0,234.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.363419847519322023157426988242,112,123.0,215.0,235.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.844645487269786352837185977661,113,126.0,214.0,230.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278091285426934025289293101298,114,121.0,212.0,230.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100721233176054501907495248513,115,125.0,209.0,229.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.249897127213186005712328771685,116,115.0,210.0,230.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.135006415159047673192987960775,117,117.0,215.0,230.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.196096635062106982827990769833,118,120.0,211.0,229.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.111345248115244553964549922027,119,124.0,206.0,227.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.292287883199320595728748397286,120,126.0,207.0,227.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.218845782761970962267679098031,121,119.0,206.0,230.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.272817253784695644323171934353,122,123.0,206.0,231.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.973260014580217933562945809263,123,126.0,210.0,233.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229224789047516394546602511283,124,119.0,208.0,226.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.137270770053565145903940792742,125,123.0,207.0,226.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.127325729793265861775299191939,126,125.0,206.0,232.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.112119759614895794024323031368,127,126.0,206.0,233.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.186203194422181741494158066388,128,127.0,196.0,228.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.175414561489110952916688904538,129,119.0,203.0,224.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.306916026083543281614604377734,130,123.0,201.0,227.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.305578292440070940978243843372,131,127.0,203.0,221.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.163439854820365479331557483488,132,127.0,193.0,216.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.136823758200306165759871666534,133,119.0,197.0,219.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.163146691630984010470492948366,134,119.0,193.0,213.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.111006509821784801437064605108,135,119.0,199.0,212.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.339563180890286543650641602423,136,121.0,187.0,218.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.245495503236094606629805134529,137,118.0,193.0,225.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.291450010398612598868980824625,138,115.0,193.0,216.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.235248171352347521996999215922,139,119.0,200.0,205.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.156980336840859169490614780284,140,118.0,193.0,208.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.732222874953761962662281892868,141,113.0,194.0,215.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.105621580437400456748187774835,142,110.0,189.0,203.0,288.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.274825730388833236549030271285,143,115.0,189.0,210.0,288.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.225268701209818942911985784209,144,112.0,186.0,208.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.437215200345844280418756283544,145,107.0,185.0,204.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.227858442729926913431617617455,146,115.0,186.0,208.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214966718875551665028295961180,147,113.0,177.0,212.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.916808811466899533737644832431,148,120.0,184.0,212.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.685210948066945396047529714351,149,110.0,181.0,208.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.269423831143698400083896027132,150,104.0,167.0,208.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.294124967385842495338917456631,151,105.0,173.0,200.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.286343163455700921968911281824,152,105.0,177.0,205.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.339130531041141499715971949576,153,104.0,176.0,196.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.241506917948391162596263086778,154,106.0,174.0,197.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.266143590633351683198992221376,155,102.0,173.0,187.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.116852125279309432594209484436,156,96.0,175.0,192.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.256225754858852554440581485486,157,102.0,174.0,200.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.268131806024022017234316363182,158,106.0,180.0,194.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.292653285538116062015332353207,159,101.0,175.0,194.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278891997092394478624392321031,160,105.0,185.0,194.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.677400628983714242501004616323,161,110.0,180.0,188.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.753448838543466748736891581377,162,103.0,176.0,187.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.162459688685329349058986359034,163,107.0,173.0,194.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.322326819796182595579508102090,164,104.0,184.0,190.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.280166419084261403001502270968,165,103.0,186.0,189.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.253410548102933895993658985376,166,112.0,189.0,200.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.172498568859741411962209030634,167,111.0,186.0,197.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.185019439418639621640858871524,168,112.0,196.0,192.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.277197952861835125229246043903,169,113.0,208.0,195.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.149362625293380603525707706336,170,115.0,214.0,197.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.238804527473183710680685385392,171,108.0,209.0,192.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.317904722583580227696097077283,172,110.0,208.0,187.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.245271680786774004517848155973,173,106.0,212.0,191.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.314211388641020003185008726062,174,113.0,214.0,200.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.287563779664236620990854106938,175,109.0,217.0,181.0,269.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.288030232810349682749626708043,176,119.0,213.0,186.0,274.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145176974962907353573344080986,177,116.0,209.0,186.0,271.0
