sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.746066807032642701703390209829,109,383.0,263.0,405.0,279.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.277288615827488332383892037193,110,383.0,263.0,404.0,279.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.259558271914131214890004266387,111,382.0,261.0,405.0,279.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.188358716856798588640128378998,112,382.0,258.0,404.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.291834863900765897356820061892,113,381.0,259.0,406.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.317064336519507610501276855311,114,381.0,256.0,404.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.548534739538541211766740000043,115,382.0,256.0,404.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.205354662661123198727221459790,116,380.0,255.0,406.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.284804906139537503083957286424,117,380.0,254.0,405.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.296469577082846397601574248712,118,380.0,254.0,405.0,278.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.321668341286666616374288238492,119,379.0,254.0,405.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.112554518975664372323160088114,120,381.0,253.0,402.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.259452926296493047625608404639,121,379.0,251.0,405.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.158475358934562285650924612103,122,380.0,253.0,404.0,282.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.118389079970559314182841305031,123,381.0,253.0,405.0,282.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.178358945146483873703318299798,124,378.0,256.0,404.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.934773884647406110735256371157,125,380.0,255.0,405.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.282950088069836524843376284870,126,382.0,257.0,405.0,279.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214000652241983184397197584926,127,380.0,257.0,405.0,278.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.286052841998743247513693431381,128,380.0,253.0,405.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194049375694864942247419981320,129,380.0,254.0,401.0,278.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.105570572868372727652824180954,130,380.0,253.0,398.0,275.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.673566587305035308588609242922,131,379.0,253.0,400.0,272.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.141891233436262018840442345405,132,378.0,253.0,394.0,273.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.637587206201266088583124897221,133,374.0,253.0,398.0,270.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.474271675129650037757670696377,158,325.0,237.0,354.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.215318129942774705188709709269,159,321.0,240.0,359.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.266279814173390253259136649178,160,314.0,235.0,356.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.218231830886900253443405233607,161,314.0,235.0,361.0,287.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.284497538967777948998691260987,162,320.0,234.0,359.0,287.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.291773741869708214958616092281,163,317.0,233.0,358.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.843894322403684322803662462270,164,321.0,230.0,366.0,284.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.136520780675743790774962595989,165,316.0,227.0,358.0,282.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.333471145045533459042269323624,166,318.0,230.0,361.0,288.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.268806835353962147177137015631,167,317.0,228.0,356.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.335821311367326489411367213399,168,314.0,226.0,353.0,288.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.200110969365610690417795406556,169,313.0,227.0,354.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.174317690243626329934375456946,170,312.0,227.0,355.0,284.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.230873307518848557489839123732,171,312.0,228.0,357.0,290.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.243280306321450843961472012437,172,314.0,224.0,361.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.866111610389258537146953927032,173,310.0,224.0,352.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214099721698850732893009913209,174,312.0,227.0,369.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.299717702413996457301964002114,175,311.0,222.0,368.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.162042518500256997257620601603,176,322.0,222.0,372.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.125792617616043823074317823456,177,314.0,221.0,368.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.251861993837493820936991766485,178,313.0,222.0,368.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.731929721146155763946049998235,179,316.0,220.0,370.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.836427656677760379154555677085,180,314.0,222.0,366.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.147090490928037313897390423969,181,314.0,221.0,375.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.695889315458949152254281288532,182,310.0,224.0,366.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.267269904230239470468785052702,183,314.0,216.0,369.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.131700433429975312363706171745,184,314.0,222.0,366.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.220919932907200051398139300921,185,315.0,221.0,374.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.103935581941593572436467753929,186,315.0,219.0,371.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.428901071667653852957065465235,187,315.0,219.0,368.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.314460625177312381840079128082,188,316.0,221.0,369.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.308731945223213938610110428580,189,312.0,224.0,369.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.593989814445785110463992739627,190,315.0,223.0,362.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.206723463575183846962651045577,191,314.0,221.0,366.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.696529574896404500020948171202,192,318.0,223.0,372.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.123009181799629349995507679304,193,313.0,222.0,363.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.251237992858687760309722452799,194,305.0,225.0,371.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.216444134376629093757768718197,195,306.0,227.0,369.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.284213855475232358416116678577,196,306.0,228.0,369.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.103716840671468218482905973673,197,314.0,229.0,363.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110759183683852252990613210912,198,310.0,227.0,371.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.225864369315185007935057622339,199,311.0,222.0,371.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.276348716244946446216068774044,200,305.0,226.0,369.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.103061181092728790316567524217,201,311.0,228.0,375.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.172317663263681271568266500706,202,309.0,228.0,374.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110757449840420746071992296598,203,311.0,225.0,377.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.612162859191788000762499801860,204,311.0,228.0,382.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.307252591520952529495409340449,205,306.0,226.0,374.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.498867196419600830132224602746,206,306.0,231.0,375.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.297398024502625816388155575208,207,306.0,232.0,368.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278102420744774644723126170384,208,307.0,222.0,371.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.317733496146495735006345472914,209,305.0,229.0,371.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.318067564469356261025444385780,210,303.0,230.0,370.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.302096784312736411129720506654,211,301.0,234.0,370.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.273308622319616437863196869538,212,301.0,236.0,364.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.323684060800187225124922191647,213,305.0,232.0,370.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.136630690499961146195202934168,214,306.0,234.0,366.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.294801795815448410430153232189,215,301.0,241.0,366.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.318821912400568084941749693350,216,307.0,234.0,366.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.102529568377475776162801816118,217,303.0,233.0,366.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.121584344993372997759319205471,218,308.0,237.0,364.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.545989157652771340350731198342,219,306.0,236.0,364.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.324622670632667062478575408266,220,306.0,237.0,364.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.723735564852746184459927095845,221,304.0,239.0,362.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214886590403283569886339500405,222,307.0,243.0,361.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.220593488618714604987824812040,223,308.0,240.0,363.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.177844457616346787190851593136,224,306.0,240.0,359.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.185900349365644940484915590114,225,304.0,237.0,367.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.149703083842464860916981098111,226,310.0,231.0,363.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.177752642465479572812549578372,227,314.0,243.0,366.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214519093478013942294743654203,228,306.0,235.0,359.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.344944422647506433766910765176,229,310.0,237.0,361.0,314.0
