sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.719889845533152594349007385921,54,384.0,258.0,408.0,282.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.327375396378586802173341656863,55,386.0,259.0,407.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.692828389465452140735771158348,56,387.0,259.0,409.0,285.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.290716329333636643698824163970,57,386.0,260.0,408.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.257599227794251873581072470389,58,386.0,260.0,411.0,284.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.112201942782751078458037932371,59,383.0,256.0,415.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.287698465739690629759192927168,60,383.0,257.0,410.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.146090295722209595183660986903,61,385.0,255.0,410.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.916774483502014692275788880250,62,386.0,257.0,408.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.155768797171752590703993261024,63,381.0,253.0,412.0,285.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145857941080341511995368527233,64,386.0,252.0,411.0,282.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.321276134239423639787782792388,65,385.0,255.0,408.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217641963711574017126075793139,66,387.0,255.0,408.0,282.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.511469108605183072025975196683,67,386.0,255.0,412.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217198663011690017551028823510,68,385.0,257.0,408.0,277.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.212197442030739582607218832035,69,384.0,253.0,405.0,282.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.104600403007498091042674855579,70,382.0,253.0,407.0,277.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.125110227544237552247278578524,71,383.0,257.0,405.0,278.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.313075475002156530231980125695,82,324.0,240.0,366.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.137632355170733115382869469609,83,315.0,235.0,363.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.148810499061554055467523774995,84,316.0,237.0,363.0,282.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.210655317290751853269805790141,85,316.0,231.0,368.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.961889027102109542458965802917,86,316.0,237.0,363.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.763916376054799638273639385426,87,318.0,234.0,365.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.307441927221492391660578838519,88,317.0,233.0,369.0,282.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.127400726530579096370378996350,89,317.0,236.0,368.0,277.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.294083930563028068844484482789,90,316.0,232.0,362.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.168766232049893921194080456577,91,309.0,231.0,364.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.292093059594819858035073287500,92,314.0,230.0,361.0,285.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145419051621310646707967868815,93,309.0,229.0,363.0,284.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.144262921581911815035627231930,94,308.0,225.0,370.0,288.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.265123525416177979360737824469,95,313.0,233.0,368.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.258032332508775301181440711584,96,309.0,225.0,371.0,285.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.647626443759544934257566237890,97,313.0,228.0,370.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.446371366632285641707178984651,98,310.0,228.0,371.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.599014580118460446791727479388,99,309.0,228.0,370.0,285.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.121474214794581871394675269024,100,310.0,229.0,370.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.331279954935252690479206997401,101,310.0,228.0,374.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.216647713700285720496725316186,102,307.0,231.0,370.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.176893312259853524418592027402,103,305.0,228.0,370.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.117234185451529374997768578146,104,303.0,231.0,370.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217350711587231925369449346187,105,310.0,230.0,365.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.137055672290789578738804212789,106,309.0,227.0,370.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.316006664357854253218552249310,107,301.0,228.0,370.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.179082010046421224150333819891,108,314.0,235.0,377.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.284830697051041644842183718590,109,308.0,230.0,372.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.292201769277476950276168501470,110,305.0,229.0,364.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.267018676364847542488057987782,111,307.0,236.0,374.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.766453675893814748117464252497,112,310.0,234.0,368.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.259812939530861663921057067399,113,308.0,238.0,370.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.219256980223989442652468853347,114,303.0,234.0,372.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.179780158623212734113983046385,115,302.0,238.0,364.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.316005021912970436309801835460,116,304.0,240.0,363.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.899560945570830336040408277977,117,296.0,240.0,365.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.339216357726404516329846417523,118,305.0,246.0,361.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.681164699175138052708459765695,119,304.0,243.0,363.0,296.0
