sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.855119038221892950186260302297,78,294.0,311.0,323.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.101104924089367195869953591352,79,296.0,309.0,327.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.222862735177027887981084202986,80,301.0,313.0,333.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.400638510853150884225291068233,81,301.0,319.0,334.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.818774367334354149292933601467,82,300.0,318.0,329.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.191841659133627929363681127705,83,298.0,314.0,330.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.195211292221157799159100809692,84,295.0,310.0,336.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.154078468151080881987650973473,85,293.0,305.0,334.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.243297071800711521111217647464,86,291.0,286.0,334.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.205447104781103556214991073013,87,292.0,282.0,338.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.125983763010594248496019827434,88,290.0,283.0,340.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.209947876442380910912606698431,89,288.0,285.0,337.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.316340055161082690017333171528,90,289.0,286.0,336.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.122352120045975467145788708772,91,290.0,280.0,351.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.562935386669720952090075922263,92,290.0,286.0,349.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.692074528681393886397108520713,93,291.0,285.0,353.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.174370772695577119453042291625,94,289.0,282.0,355.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.228965069648934629577635488133,95,294.0,285.0,355.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.132537018654639373622567550057,96,294.0,278.0,356.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.317929729006955414226846940284,97,294.0,282.0,348.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.245025802058981546140255294153,98,294.0,280.0,354.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.248701111551662369106866937855,99,291.0,282.0,352.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.749025522015047802325781547775,100,294.0,285.0,352.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.754396187200907770900610696910,101,292.0,284.0,355.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.786181023099272911952201496856,102,294.0,292.0,352.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.150485065134322787367612206280,103,298.0,290.0,351.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.173875479927551995957622659220,104,292.0,288.0,356.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.204383070808200552323387573914,105,290.0,293.0,351.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.242364132358730181527985356475,106,287.0,296.0,356.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.144875393575337104987354866983,107,289.0,299.0,351.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.546755050661987971383558284970,108,294.0,296.0,344.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.141189695331501355694163977399,109,287.0,294.0,339.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.246892988960251751203836897895,110,288.0,296.0,335.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.228627576151204263701160135657,111,289.0,295.0,340.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.592681309884741793195385713666,112,290.0,293.0,333.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.136358812399404803943675103533,113,299.0,300.0,334.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.136359534747406612888658560076,114,298.0,302.0,330.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.609951884108040175831937840177,115,296.0,302.0,339.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.377423497776142718300525588121,116,298.0,301.0,338.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.262381697807411384468841565032,117,294.0,307.0,340.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.156981531472216117079827869271,118,298.0,300.0,338.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.187368568557591336782045070848,119,301.0,307.0,337.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.260052476279949521287499337224,120,298.0,309.0,344.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.115731565405855204714623714596,121,300.0,307.0,340.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.120712163042645628867110247444,122,298.0,302.0,340.0,349.0
