sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.586102539530242545969763324281,237,320.0,321.0,346.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.193300354272605957255756517597,238,320.0,317.0,346.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.896594364519969157799943426761,239,319.0,315.0,345.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.557299593234189190266021886996,240,322.0,319.0,345.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.306727786978351618547079759665,241,323.0,321.0,348.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.317593856913716723617007262809,242,320.0,321.0,347.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.822107490378256086605388522220,243,319.0,318.0,346.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.202695814462792845074361128507,244,314.0,315.0,345.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.332402205354092609893323171872,245,315.0,318.0,350.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.570370370439588619387738591833,246,314.0,314.0,352.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.220058393879727888555188678285,247,311.0,310.0,357.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.123741904319950061618482733164,248,314.0,312.0,353.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.589432100098913503554324654755,249,313.0,314.0,354.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.318579002250107497359336432360,250,317.0,311.0,355.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145795516077101004316745417949,251,314.0,311.0,355.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.266298799710690715754886226009,252,312.0,312.0,354.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.132714525666138141859312203974,253,312.0,306.0,352.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.237637706531686749514243399010,254,310.0,310.0,355.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214156921591120613480606163610,255,311.0,307.0,359.0,350.0
