sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.175994186553052244432583657028,101,320.0,322.0,348.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.142286209880382991290861631142,102,319.0,315.0,348.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.297757752356141079119267932753,103,319.0,316.0,348.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.322630394650434122848966933350,104,322.0,318.0,352.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.241903481952174261899634780889,105,319.0,318.0,349.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.330809268329913332937665682560,106,323.0,320.0,350.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.329383004735010803357920837201,107,313.0,318.0,355.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.267158331078801763316682976911,108,321.0,316.0,354.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.314157576625557867873793872037,109,323.0,317.0,358.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.669313755763269180109414109429,110,323.0,319.0,362.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.108122122106274602128231917083,111,319.0,318.0,356.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.333095877794276163159900342937,112,323.0,314.0,361.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.185544147083314734918162593415,113,320.0,318.0,355.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.234622002864580243726840387584,114,316.0,317.0,359.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.336800894397565820828537530830,115,322.0,320.0,359.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.334575760098308298512303077398,116,323.0,318.0,358.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.325834193499763558728256191726,117,319.0,317.0,355.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.171601456957989037232667433095,118,317.0,318.0,358.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.583366173016226568851351975237,119,315.0,318.0,355.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.184177640283418695898978182843,120,318.0,318.0,362.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.260838531714044742406039743515,121,318.0,311.0,358.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.527058515749041873051102959117,122,322.0,318.0,361.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.212069414689537171497129456867,123,316.0,311.0,356.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.354711220421124906804763494270,124,326.0,314.0,358.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.821414917766305350598724295926,125,323.0,317.0,355.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.823594341924622734137583429208,126,324.0,316.0,354.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.155313031799596940108225616982,127,322.0,319.0,356.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.334973721413163137089584733953,128,320.0,314.0,354.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.179331543559135976230844929435,129,320.0,318.0,353.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100523444661699577618909043429,130,311.0,307.0,355.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.649004436682479573481003312576,131,316.0,312.0,359.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.353999835481805775836423943806,132,320.0,312.0,364.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.350598941147400846772146304317,133,317.0,314.0,357.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.258894057442557568574328751326,134,322.0,315.0,352.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.135405586829040449422494382889,135,323.0,314.0,354.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.230912407128014442376082426139,136,315.0,306.0,357.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.111457291775329517418136761526,137,320.0,318.0,357.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.178943451066425821515009283603,138,319.0,312.0,349.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.903209709754776840490994908426,139,320.0,318.0,351.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.188157414747061406719959075451,140,320.0,313.0,355.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.248596177375012012518296278121,141,314.0,315.0,344.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.259734984365667351567412286750,142,323.0,317.0,347.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.495760397894503422602548404285,143,323.0,318.0,342.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.298987465755240037324598052082,144,320.0,313.0,350.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.206322570892399889369865222658,145,323.0,317.0,340.0,338.0
