sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.183059430985548870465301947665,108,297.0,317.0,336.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.197915976032496698573505195002,109,297.0,322.0,332.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.228171662297860885332561167226,110,302.0,320.0,335.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.296496934563674951216171794886,111,295.0,320.0,331.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.244914113098283399807477183161,112,299.0,322.0,334.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.300180711130540642892935025735,113,296.0,317.0,330.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.211760128753033749781607080558,114,299.0,323.0,332.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.829573174226929185677686679722,115,300.0,323.0,332.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.321209299498712460264473613098,116,301.0,317.0,338.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.288035745339446705826162498623,117,298.0,317.0,336.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.233009704900018555794597959258,118,297.0,317.0,331.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.103962037388774972856164394604,119,298.0,319.0,332.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.664144569728898246426496238337,120,298.0,316.0,332.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.341217039932397945821580750335,121,298.0,320.0,333.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.333168919469548375364692740640,122,300.0,319.0,331.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.109470040155772423320346602134,123,298.0,316.0,334.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.130279507894200584417603951513,124,296.0,315.0,336.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.580868142612647055930870966242,125,298.0,316.0,335.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.223541270416112723226022553419,126,297.0,315.0,332.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.231792962793860839956769829577,127,301.0,317.0,337.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.285574866329691470608751791608,128,304.0,320.0,332.0,357.0
