sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.236792870648067855544344861555,276,292.0,321.0,340.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.281753702655205261393286322701,277,294.0,313.0,331.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.277421690516163356717312440185,278,293.0,314.0,338.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.862377175935576855221510791731,279,291.0,311.0,336.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.197945834617626916067958836328,280,286.0,307.0,337.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.258812868201958352745714608684,281,288.0,308.0,347.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.577121219639867985044673946464,282,285.0,308.0,334.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.177205943089747087368952023710,283,288.0,312.0,341.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.334463490714516878223729304944,284,283.0,311.0,335.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.285319953228098612265162860430,285,285.0,309.0,346.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.171514638193477627935526963842,286,291.0,308.0,342.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.101469155126998132195525429828,287,293.0,314.0,336.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.963043218021871697315534200779,288,288.0,311.0,345.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.161530763029916839247350760009,289,295.0,310.0,344.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.201170525149662957108528581648,290,294.0,310.0,343.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.291047993496798016385884330057,291,292.0,311.0,345.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.127805378295938430429696774149,292,292.0,310.0,350.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.279402612358507785025579169221,293,292.0,311.0,344.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.274529748195732231759014521635,294,295.0,312.0,354.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110759246012729618666076205506,295,292.0,310.0,354.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.917186234330346742354227131324,296,299.0,313.0,359.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.129399532029568693590399066333,297,295.0,310.0,360.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.200297118750847572543244714753,298,294.0,311.0,356.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.766325791974274824405252140486,299,294.0,312.0,344.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.175644733267796300174913737652,300,292.0,309.0,336.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.156918546160288751774261994642,301,294.0,307.0,337.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.841653100995964823073236449236,302,297.0,313.0,337.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.916416251428684633988461387091,303,301.0,314.0,348.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.177313504667743217447797546156,304,305.0,309.0,358.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.253603474268176884462864551873,305,302.0,310.0,352.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.305823478335312657576641899132,306,300.0,307.0,359.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.320241453900953119151129823264,307,299.0,311.0,391.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.149378397116352798666911195635,308,300.0,309.0,389.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.231794349521363765406358601713,309,296.0,302.0,392.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.288138949336615096136069467749,310,300.0,293.0,392.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.307663774180143776015833697496,311,304.0,294.0,393.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.203733930725440644655402110772,312,308.0,293.0,390.0,341.0
