sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.463239902638533146360737004932,357,192.0,221.0,223.0,237.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.919875533869248208692963151436,358,191.0,222.0,218.0,243.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.317076236470184712616361266953,359,183.0,222.0,218.0,242.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.176530383814563193089377482645,360,184.0,222.0,220.0,243.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.134785079330678507452003252927,361,188.0,223.0,222.0,246.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.350129159849519197159277902318,362,184.0,222.0,221.0,249.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.275723164369242703685009751905,363,187.0,221.0,223.0,248.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.290886527761134212261178482379,364,186.0,221.0,223.0,250.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.152707487812504916305378121578,365,190.0,221.0,224.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.197194133555258274188829652998,366,183.0,220.0,230.0,257.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.148967637334617952898596617859,367,184.0,219.0,231.0,254.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.184606180695320124252652866389,368,180.0,217.0,231.0,258.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.286002844959705773441317800250,369,182.0,218.0,228.0,255.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.185588821573421845609190317349,370,184.0,217.0,232.0,255.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.851082532332303295892332017593,371,179.0,217.0,231.0,260.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.138070818344190606554901499515,372,177.0,217.0,230.0,260.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.120675868434100959321254996985,373,181.0,212.0,232.0,261.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.152183899954797918074712456824,374,180.0,214.0,229.0,258.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.287591073559495732251944304456,375,179.0,210.0,235.0,256.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.233725259678375909920054065922,376,178.0,214.0,238.0,261.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.167671071696011895225125383384,377,178.0,218.0,238.0,267.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.225110547907820125499703388876,378,178.0,213.0,238.0,265.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.244067988183773134399599002538,379,178.0,209.0,242.0,265.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.135718225283047281311219115358,380,176.0,218.0,242.0,263.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.324505391729595505636165868814,381,172.0,221.0,241.0,264.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.227930529613910941854169892657,382,176.0,223.0,242.0,266.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.174999515401959337997713274545,383,170.0,222.0,242.0,259.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.306808039805686662297821836364,384,174.0,222.0,244.0,259.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278563992214116927463445582154,385,172.0,227.0,244.0,261.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.125126341744842337265825192684,386,173.0,217.0,248.0,262.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.247917765295245918913195196918,387,176.0,219.0,244.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.179904657896827934453847788638,388,176.0,222.0,246.0,262.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.269697875117069109521022747829,389,170.0,221.0,246.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.171859074819654662120256093319,390,172.0,218.0,241.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.254499668781301184832587180961,391,174.0,221.0,246.0,262.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.259713773487855491550229554799,392,166.0,223.0,245.0,269.0
