sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.251582201167900918054520152117,211,350.0,297.0,386.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.703067529089543399986104923153,212,337.0,296.0,389.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.655472690470133014530919216401,213,330.0,292.0,385.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.158086046436121586525207593770,214,334.0,292.0,386.0,328.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.327984184806214419225217894722,215,337.0,297.0,386.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.226154433437814629550411877913,216,330.0,293.0,388.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.211029457498994217495678216884,217,323.0,292.0,389.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.458374560229511477913950515282,218,317.0,293.0,383.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.125753414203912857687389163960,219,319.0,293.0,389.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.118141189193672777370918071588,220,325.0,293.0,391.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.201379186343263635574398943602,221,328.0,294.0,389.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.321055789951188520882224011799,222,334.0,298.0,390.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.210045442489156972609387158912,223,332.0,294.0,390.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.142335258381652348822141236094,224,331.0,298.0,392.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.324218398727250309062602000843,225,330.0,293.0,391.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.279713685292199986936115214905,226,337.0,294.0,395.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.275731133348008483871972717700,227,328.0,296.0,390.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.243784906649515835239066875800,228,330.0,292.0,396.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.101778700021580989533421844721,229,328.0,293.0,398.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.947303205276707828270941131178,230,330.0,293.0,388.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.188580606758000852340013350258,231,328.0,293.0,386.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.436821637506071303784332637518,232,325.0,289.0,384.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.257579730028077827675515612505,233,333.0,291.0,384.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.274152151288814772598812534057,234,330.0,289.0,389.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.911623117102245504971497429194,235,329.0,286.0,389.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.339284206416141632123220576236,236,332.0,291.0,379.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.142666051356892139774162227472,237,330.0,290.0,380.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.956081666264342340242489945573,238,333.0,288.0,387.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.335415151817061365463592606168,239,332.0,292.0,387.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.779298318908309059352686008761,240,335.0,291.0,377.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.329763474342408272264597403864,241,328.0,288.0,382.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.193820252838336968596317381236,242,335.0,286.0,381.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.377035467609785711687784653374,243,328.0,283.0,374.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.222994043663886586917693429068,244,335.0,282.0,379.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.220161453232326533549234372811,245,329.0,280.0,377.0,319.0
